abnormality,병신
microchip,극미 박편
animalcule,극미동물
indivisible,극미분자
submicroscopic,극미소 물체의
microscopic,극미의
ical,극미의
infinitesimal,극미한
vincible,극복할 수 있는
impassable,극복할수 없는
invincible,극복할수 없는
negotiable,극복할수 있는
hyperborean,극북의
qclearance,극비 문서 취급인가
beggary,극빈
climax,극상
nonpareil,극상품
negativistic,극성
polarity,극성
ministate,극소 국가
microlens,극소 사진 촬영용 렌즈
nanosurgery,극소수술
enormity,극악
villainy,극악
photodrama,극영화
birchism,극우 반공주의
polar,극의
scenic,극의
stagecraft,극작법
dramaturgic,극작의
loge,극장 간막이
rialto,극장가
galleryite,극장의 꼭대기 관락석의 관람객
savoyard,극장의 단골 손님
cryocable,극저온 지하 전기 케이블
cryogenic,극저온에 맞는
scena,극적 독창곡
tableau,극적 장면
solstice,극점
hospitality,극진
friendliness,극진
hospitable,극진하다
microwave,극초단파
hypersonic,극초음속의
acme,극치
culmination,극치
echinoderm,극피동물
capitally,극형으로
dramatize,극화하다
theatricalize,극화하다
adynamic,근 무력증
kinesthesia,근각
groundless,근거 없는
ungrounded,근거 없는
potshot,근거리 사격
baseless,근거없는
unfounded,근거없는
grounded,근거있는
syssarcosis,근골연결
suburbicarian,근교 주택 지구의
rhizosphere,근권
yesteryear,근년
chard,근대
nightingale,근대 간호학 확립의 공로자
redbrick,근대 대학
neolatin,근대 라틴어 로만스 말
pantaloon,근대 무언극의
modernistic,근대 적인
modernism,근대어법
aggiornamento,근대화
modernize,근대화하다
rocky,근들근들하는
latterday,근래의
thews,근력
emblements,근로 과실
servitor,근로 장학생
clubroot,근류병
nodulation,근립착생
fascia,근막
assiduity,근면
diligence,근면
painstaker,근면가
assiduous,근면하다
hardworking,근면하다
industrious,근면하다
fibril,근모
fibrillary,근모의
rota,근무명부
cornerstone,근본 이념
primal,근본의
fundamentalism,근본주의
closeness,근사
convergence,근사 현상
nde,근사사체험
twinship,근사성
gloriously,근사하게
marvie,근사하다
marvy,근사하다
approximate,근사한
splendid,근사한
exiguity,근소
fewness,근소
littleness,근소
myopia,근시
myopy,근시
nearsightedness,근시
nearsighted,근시의
shortsighted,근시의
indiscretion,근신하지 않는 행위
perturbative,근심
cares,근심걱정
sobriety,근엄
stern,근엄하다
affinity,근연
royalist,근왕의
numen,근원력
fontal,근원을 이루는
elemental,근원적인
perilune,근월점
grenadier,근위 보병 제1연대의 병사
blues,근위기병 제 3연대
kinesthetic,근육 운동 감각의
crick,근육경련
intramuscular,근육내의
inositol,근육당
muscular,근육의
kink,근육의 경련
kinky,근육의 경련
inotropic,근육의 수축을 지배하는
incoordination,근육의 협동 운동실조
musclebound,근육이 굳어버린
muscularity,근육이 억셈
rhizic,근의
apsis,근일
oddcomeshortly,근일
perihelion,근일점
anomalistic,근일점의
grounding,근저
pedestal,근저
emg,근전 기록 장치
electromyogram,근전도
electromyography,근전도 검사법
eradication,근절
extirpation,근절
eradicative,근절시키는
uproot,근절시키다
exterminator,근절자
exterminatory,근절적인
eradicant,근절제
hydraheaded,근절하기 어려운
hydra,근절하기 어려운 것
extirpative,근절하는
deracinate,근절하다
eradicate,근절하다
exterminate,근절하다
extirpate,근절하다
ineradicable,근절할 수 없는
inextirpable,근절할 수 없는
exterminable,근절할 수 있는
eradicable,근절할 수 있는
periapsis,근점
appulse,근접
flyby,근접통과
proxemics,근접학
coadjacent,근접한
rhizopod,근족충류의 동물
perigee,근지점
perigeal,근지점의
perigean,근지점의
intermarriage,근친결혼
closecross,근친교접
velamen,근피
longshoreman,근해 어부
banking,근해 어업
solidness,귿음
lines,글귀
verses,글귀
amphibology,글귀의 모호함
gladiolus,글라디올러스
glasphalt,글라스팔트
glassivation,글라시베이션
glassine,글라신지
glauce,글라우케
glyconic,글라이콘 시체 글라이콘 시체시
bareknuckled,글러브를 끼지 않은
glazed,글레이즈를 바른
globalist,글로벌리스트
globulin,글로불린
globin,글로빈
gloucester,글로스터치즈
gloxinia,글록시니아
glucinum,글루시늄
gluon,글루온
glucagon,글루카곤
glucoreceptor,글루코리셉터
glucoside,글루코사이드
glutamine,글루타민
glutathione,글루타티온
gluten,글루텐
glissade,글리사드
glissando,글리산도의
glycerol,글리세롤
glycerinate,글리세린으로 처리하다
glyceryl,글리세릴기의
glycerin,글리신
glycine,글리신
glia,글리아
gliadine,글리아딘
glycogen,글리코겐
glycogenesis,글리코겐 합성
glycogenic,글리코겐의
glycoside,글리코시드
glycol,글리콜
glycolic,글리콜의
scrabble,글씨 채우기 게임
unwritten,글씨가 씌어 있지 않은
cacographer,글씨를 잘 틀리는 사람
calligraphy,글씨체
sentences,글월
literate,글을 아는
literalize,글자 뜻대로 해석하다
rebus,글자 맞추기
logomachy,글자 맞추기 놀이
scraper,글자 지우개
literality,글자대로의 해석
illiterate,글자를 모르는
illiteracy,글자를 읽고 쓸줄 모름
anagram,글자바꿈수수께끼
aitch,글자발음
lettering,글자배치
hornbook,글자판
scrape,긁어 모으다
farraginous,긁어 모은
scraping,긁어 모은것
claw,긁어모으다
boomerang,긁어부스럼
aurum,금
goldsmith,금 세공인
emery,금강사
diamondcutter,금강석을 다듬는 사람
foxtail,금강아지풀
quinine,금계랍
pheasant,금계랍
safebreaking,금고 털이
cracksman,금고 털이 도둑
safealarm,금고용
chryselephantine,금과 상아로 만든
brasswind,금관악기의
ingot,금괴로 만들다
timocracy,금권
plutodemocracy,금권 민주 정치
plutocracy,금권 정치
snob,금권주의자
kumquat,금귤
dutchmansbreeches,금낭화류의 물
gilt,금니
forbidden,금단의
bullion,금덩어리
baldachin,금란
samite,금란
nasturtium,금련화과
prohibition,금령
chrysoberyl,금록석
iguanodon,금룡
globeflower,금매화
gilding,금박 입히기
mordant,금박 점착제
goldbeating,금박 제조
gilder,금박공
goldbeater,금박공
titling,금박으로 제목을 박기
bespangle,금박으로장식하다
estoppel,금반언
estop,금반언으로 금지하다
fairhaired,금발의
blondie,금발의 여자
goldilocks,금발의사람
hotbox,금방 달아오르는 여자
ragwort,금불초
fleawort,금불초 무리
goldfish,금붕어
antirrhinum,금붕어 꽃
aurify,금빛으로 물들이다
aureate,금빛의
metallography,금상학
epigraphist,금석학자
venus,금성
goldwork,금세공
cyclograph,금속 경도 측정기
mosfet,금속 산화막 반도체 전계 효과 트랜지스터
palladium,금속 원소의 하나
sterilized,금속 탐지 검사를 받은 사람 외에는 탑승 금지의
fractography,금속 파면 등의 현미경 관찰
metallograph,금속 표면 확대도
tubed,금속제 호흡관을 댄
carbonyl,금속카르보닐
metallization,금속화
metallicize,금속화하다
metallize,금속화하다
calx,금속회
calendula,금송화
bestialize,금수화하다
fasting,금식
tinsel,금실을 넣은 얇은 천
orphrey,금실자수
fishin,금어 구역 설정 항의 데모
snapdragon,금어초
maxims,금언집
antismoking,금연을 지향하는
nonsmoking,금연의
eschscholtzia,금영화
fridays,금요일마다
abstinence,금욕
stoical,금욕의
stoically,금욕적으로
monastically,금욕적으로
monastic,금욕적인
abstinent,금욕적인
stoic,금욕주의자
taurus,금우궁
financier,금융업자
auriferous,금을 산출하는
goldfilled,금을 입힌
auric,금의
aurous,금의
crannied,금이 난
gapped,금이 많은
notchy,금이 있는
miniate,금자로 장식하다
besom,금작화
broom,금작화
broomrape,금작화 등의 뿌리에 기생하는 식물의 총칭
greenweed,금작화류
dyersbroom,금작화의 일종
marigold,금잔화
teller,금전 출납 계원
monetary,금전상의
moneyed,금전의
monied,금전의
pecuniary,금전의
dollarwise,금전적으로
illicit,금제의
interdictory,금제의
prohibitory,금제의
contraband,금제품
lyrebird,금조
moneywort,금좁쌀풀류의 덩굴풀
temperance,금주
abstain,금주가
waterdrinker,금주가
nondrinking,금주의 술을 마시지 않는
pussyfoot,금주주의자
doping,금지 약물 복용
injunction,금지명령
nono,금지사항
proscriptive,금지의
dont,금지조항서
prohibitive,금지하는
forbidder,금지하는 사람
interdiction,금치산선고
blowfly,금파리
bluebottle,금파리
troy,금형
rutile,금홍석
ocher,금화
aftertime,금후
hoick,급각도로 올라가다
dogleg,급각도로 휜
eclampsia,급간
stuka,급강하 폭격기
divebomb,급강하폭격하다
quickness,급격
sharpiy,급격하게
sunddenness,급격함
highpitched,급경사의
booming,급등하는
remuneration,급료
saveasyouearn,급료 공제 저금
payoff,급료 지불
payroll,급료 지불부
chutes,급류
rapids,급류
torrential,급류의
exigency,급무
exigent,급박
imminence,급박하다
urgency,급박하다
shakeup,급변화
cheque,급부
courier,급사
escarpment,급사면
headwaiter,급사장
zoom,급상승
chandelle,급상승 방향전환
haste,급속
rapidity,급속
deepfreeze,급속냉동
allegro,급속도로
galloping,급속도의
drinker,급수기
waterer,급수기
waterworks,급수소
hydrant,급수전
pounce,급습
stormer,급습자
blitz,급습하다
swoop,급습하다
companies,급식
subsist,급양하다
godevil,급유관 청소기
bowser,급유용 트럭
metastasis,급전환
snub,급정거
screech,급정거 소리
foudroyant,급증의
ultraliberal,급진적 자유주의의
radiclib,급진적 자유주의자
radicalize,급진적으로 하다
dynamitism,급진적혁명주의
leftofcenter,급진지지의
haulabout,급탄선
scamper,급하게 훑어 읽기
hasty,급한
presto,급한
affirmation,긍
litmusless,긍정도 부정도 안하는
affirmative,긍정문
affirmatory,긍정의
tinge,기
tint,기
mist,기
bunting,기 만드는 천
vertiport,기 이착륙장
unquailing,기가 꺾이지 않는
chapfallen,기가 꺾인
dispirited,기가 꺾인
pshaw,기가 막혀!
despondent,기가 죽은
heap,기가 푹 꺽이다
brokendown,기가꺽인
quail,기가죽다
gigaton,기가톤
cavalry,기갑부대
highspirited,기개 있는
outtray,기결함
machining,기계 가공
jiggerman,기계 놀로공
gadgety,기계 만지기를 좋아하는
gadgeteer,기계 만지기를 좋아하는 사람
retool,기계 설비를 재정비하다
mechanoreceptor,기계 수용기
mechanotherapy,기계 요법
televox,기계 인간
outmachin,기계 장비면에서  능가하다
mechanician,기계 조립공
mechanochemistry,기계 화학
machinelike,기계같은
machineman,기계공
fandangle,기계기구
mechanist,기계기사
mechanically,기계로
machinemade,기계로 만든
enginery,기계류
exploded,기계를 분해하여 부품의 상호 관계를 나타내는
instrumentation,기계사용
dynamoelectric,기계에너지를 전기에너지로 바꾸는
appurtenance,기계장치
rote,기계적 기억
harddock,기계적 조작에 의해 도킹하다
clone,기계적으로 행동하는 사람
automaton,기계적으로행동하는사람
routineer,기계적인 일만 하는 사람
mechanics,기계학
mechanistic,기계학적인
mechanization,기계화
mechs,기계화 부대
mechanize,기계화하다
highheartness,기고 만장
triumphantly,기고 만장하여
highheartly,기고 만장해서
antiquated,기고하다
backbone,기골
backboned,기골이 있는
handicraftsman,기공
groundbreaking,기공
pore,기공
stigma,기공
stoma,기공
vesicle,기공
skewback,기공석
trachea,기관
windpipe,기관
tracheotomy,기관 절제술
gapeworm,기관개취층
greaser,기관사
cab,기관사실
stokehold,기관실
organically,기관에 의하여
tracheitis,기관염
bronch,기관지
bronchia,기관지
bronchium,기관지
bronchus,기관지
bronchopneumonia,기관지 페렴
bronchiectasis,기관지 확장증
bronchoscope,기관지경
bronchitis,기관지염
bronchitic,기관지염성의
bronchial,기관지의
bronchotomy,기관지절개술
puffpuff,기관차
wildcat,기관차
doubleheader,기관차를 둘 단 열차
baroque,기괴한
monstrous,기괴한
finesse,기교
ballute,기구 낙하산
ballooning,기구 비행 경기
satelloon,기구 위성
aerostatics,기구 항공학
defat,기권
abstention,기권
renounce,기권하다
famine,기근
scarcity,기근
fundraiser,기금 조달자
unctuous,기금같은
endow,기금을기부하다
agreeably,기꺼이
cheerfully,기꺼이
gladly,기꺼이
willingly,기꺼이
gratulate,기꺼이 맞이하다
amenability,기꺼이 복종함
snatch,기꺼이 응하다
fain,기꺼이하는
cinchonize,기나로 처리하다
cinchona,기나수
quinquina,기나수
cinchonism,기나중독
gosport,기내 통화관
carryon,기내 휴대 수하물
inbd,기내의
festschrift,기념 논문집
stela,기념 석주
monumental,기념되는
memento,기념물
cenotaph,기념비
pantheon,기념비가 있는 건물
commemorative,기념우표
memorialization,기념함
urolagnia,기뇨증
trailing,기는
flagellum,기는 가지
creeper,기는 것
funetionalist,기능 주의자
pressor,기능 촉진의
dynapolis,기능도시
beautility,기능미
malfunction,기능부전
insulinoma,기능성 췌도종양
fuctionword,기능어
deskill,기능을 시대에 뒤지게 하다
functionate,기능을 하다
guinea,기니
guineaman,기니 무역선
agouti,기니아픽
cavy,기니피그
longsome,기다란
longspun,기다란
longeared,기다란 귀를 가진
ivory,기다란 앞니
expectant,기다리고 있는
longawaited,기다린 지 오랜
waiting,기다림
anecdote,기담
recline,기대게하다
incumbent,기대는
leaner,기대는 사람
recliner,기대는 사람
expectative,기대되는 것
treacherous,기대에 어긋나는
onlooking,기대하는
anticipant,기대한
recumbent,기댄
recumbency,기댐
incubation,기도
intercession,기도
priedieu,기도대
prayin,기도로 항의하는 집회
psalmbook,기도문
canticle,기도서성가
gurdwara,기도소
liturgist,기도식문 편집자
oratory,기도실
prayerful,기도에 열심인
attempted,기도한
christianism,기독교 교리
demochristian,기독교 민주당원
antichristian,기독교 반대자
christianize,기독교 신자로 만들다
phalangist,기독교 우파
christless,기독교 정신에 어긋나는
unchristian,기독교가 아닌
christendom,기독교계
christian,기독교도
nazarene,기독교도
rayah,기독교도
christianly,기독교도다운
christianization,기독교화
mobilization,기동
troops,기동대
impetus,기동력
mounted,기동력이 있는
maneuverability,기동성
tenstrike,기둥 10개를 전부 넘어뜨리기
knop,기둥 머리
systyle,기둥 사이가 약간 좁은
gigolo,기둥 서방
chapiter,기둥머리
gorgein,기둥몸과 대접받침과의 접합부
intercolumniation,기둥배치
intercolumnar,기둥사이의
underprop,기둥으로 받치다
banderole,기드림
streamer,기드림
aerometer,기량계
greylag,기러기
honk,기러기 우는 소리
chevalet,기러기발
graylag,기러기의 일종
goahead,기력
flabby,기력없는
renovate,기력을 회복시키다
pithless,기력이 없는
plucky,기력이 좋은
crossroad,기로
archival,기록 보관소의
rapporteur,기록계
registrary,기록담당자
archivist,기록보관인
blotter,기록부
registrar,기록원
scorekeeper,기록원
chronicler,기록자
paravane,기뢰 방어기
yawnful,기루하게 하는
airflow,기류
airstream,기류
damper,기를 꺽는 석
damp,기를 꺽다
dash,기를 꺽다
desperation,기를 씀
discouragement,기를 죽이는 것
struggling,기를쓰는
papillote,기름 먹인 종이
olier,기름 붓는사람
oily,기름같이
fatty,기름기가 많은
fattiness,기름기가 많음
oilstone,기름숫돌
saute,기름에 살짝 튀긴
deepfried,기름에 튀긴
fried,기름에 튀긴
braise,기름에살짝튀긴후뭉근불에끓이다
panbroll,기름을 거의 치지 않은 프라이팬을 굽다
oleiferous,기름을 내는
refuel,기름을 붓다
flench,기름을 뺨다
flense,기름을 뺨다
oilfired,기름을 연료로 쓰는
lardy,기름이 많은
greaseproof,기름이 안배는
oilless,기름이 없는
greasily,기름지게
fatten,기름지게 하다
fertile,기름지다
greasy,기름진
lubricator,기름치는 기구
oilcan,기름치는 기구
longish,기름하다
commend,기리다
camelopard,기린
kylin,기린
rising,기립
troophorse,기마
outrunnet,기마 수행자
postrider,기마 우편 집배인
yeoman,기마 의용병
cavalcade,기마대
prancer,기마사관
ahorse,기마의
equestrian,기마의
yeomanry,기마의용
vedette,기마초병
spanking,기막히게 좋은
kneeslapper,기막힌 농담
beguilement,기만
camouflage,기만
cozenage,기만
flam,기만
fraudulence,기만
fraudulency,기만
humbuggery,기만
delusive,기만적인
beguile,기만하다
narcolepsy,기면 발작
proxies,기명 투표
writein,기명 투표
registered,기명의
inscribe,기명하다
gigmill,기모 공장
oddness,기묘
fantastic,기묘한
quizzical,기묘한
squirrelly,기묘한
stomstal,기문의
odor,기미
savor,기미
smack,기미
speckle,기미
tincture,기미
astute,기민한
dexterous,기민한
incisive,기민한
sagacious,기민한
shrewd,기민한
celerity,기민함
leakproof,기밀 누설 방지의
declassify,기밀 리스트에서 빼다
reclassify,기밀 분류를 바꾸다
secrecy,기밀 엄수
unclassified,기밀 취급을 받지 않은
classified,기밀 취급의
confidentiality,기밀성
confidential,기밀의
restricted,기밀의
bedrock,기반
newness,기발
fanciful,기발한
fantasmo,기발한
vagarious,기발한
quirk,기벽
strongminded,기벽 있는
tidings,기별
cavalryman,기병
horseman,기병
cornet,기병대 기수
squadron,기병대대
carbine,기병총
notation,기보법
undulations,기복
corpus,기본금
rudimentary,기본의
suchness,기본적 성질
cardinal,기본적인
meatandpotatoes,기본적인
nutsandbolts,기본적인
nittygritty,기본적인 사실
chantry,기부
endowment,기부
subbase,기부
rimfire,기부 가장 자리에 기폭약이 있는
whipround,기부 권유
disendow,기부 재산을 몰수하다
purse,기부금
uncanny,기분 나쁜
eeriness,기분 나쁨
distraction,기분 전환
pastime,기분 전환
diverting,기분 전환이 되는
cheery,기분 좋은
cozy,기분 좋은
gemutlich,기분 좋은
uncouth,기분나뿐
unearthly,기분나쁜
anodyne,기분을 누구러뜨리는
comforting,기분을 돋우는
exhilarant,기분을 상쾌하게 하는 것
tiff,기분을 상하다
beguiling,기분을 전환시키는
temperamental,기분의
exhilarated,기분이 들뜬
refresh,기분이 상쾌해지다
cheeriness,기분이 썩 좋음
splenetic,기분이 언짢은
trippy,기분이 좋아진
boon,기분이 좋은
louring,기분이 좋지않은
humorly,기분이해서
whimsical,기분적인
cheerily,기분좋게
nuzzle,기분좋게 자다
nestle,기분좋게 자리잡다
balmy,기분좋은
caressive,기분좋은
heartwarming,기분좋은
pleasurable,기분좋은
conviviality,기분좋음
niceness,기분좋음
coprophilia,기분증
gibson,기브슨
gibeon,기브온
gibeonit,기브온 주민
ghibli,기블리
entrancement,기뻐 어쩔 줄 모름
rapturous,기뻐날뛰는
stoked,기뻐날뛰는
ravishment,기뻐날뜀
carol,기뻐노래하다
gratified,기뻐하는
rejoicing,기뻐하여
unpleased,기뻐하지 않는
joyously,기쁘게
jubilantly,기쁨에 넘쳐
gratulant,기쁨을 나타내는
paean,기쁨의 노래
euphrosyne,기쁨의여신
joyless,기쁨이 없는
caballero,기사
cavalier,기사
knight,기사
knightly,기사다운
knightage,기사단
chivalry,기사도
knighthood,기사도
meteorology,기상
reveille,기상 나팔
loadmaster,기상 수송원
meteorograph,기상 자동 기록기
crotcheteer,기상가
atmospherium,기상변화 투영 장치
meteoric,기상상의
tacan,기상용 단거리 항법장치
inflight,기상의
meteorological,기상의
mindshattering,기상천외의
outofthisworld,기상천외의
meteorologist,기상학자
parasitism,기생
parasite,기생 동물
saprophyte,기생 식물
monticule,기생 화산
parasitic,기생물의
parasitical,기생물의
aerophyte,기생식물
demoiselle,기생잠자리
tickseed,기생초
helminth,기생충
helminthiasis,기생충병
vermination,기생충병
verminosis,기생충병
worms,기생충병
parasitology,기생충학
steamboat,기선
steamship,기선
preconceived,기성
handmedown,기성복
pretaporter,기성복
decriminalize,기소대상에서 제외하다
indictable,기소되어야 할
indictor,기소자
implead,기소하다
indict,기소하다
rider,기수
consummation,기수
standardbearer,기수
ensigncy,기수의 역할
postilion,기수장
boarding,기숙
livingin,기숙
housemother,기숙사의 여사감
boarder,기숙생
artificer,기술가
technically,기술적으로
sneakraiding,기습
surprisal,기습
blindside,기습 공격을 감행하다
sneakraid,기습 공습
parachronism,기시 착오
aspirate,기식음으로 발음하다
breathy,기식음의
sponge,기식하다
foundling,기아
instrumentalist,기악가
drafting,기안
baro,기압
allobar,기압 등변화선
pulsometer,기압 양수기
barometry,기압 측정법
barometer,기압계
manometer,기압계
col,기압골
isallobar,기압등변화선
barometric,기압상의
millibar,기압의 단위
ridge,기압의 봉우리
creeping,기어 돌아다니는
climber,기어 오르는 식물
unscalable,기어 오를 수 없는
climbing,기어 오름
clamber,기어 올라가다
crawlingly,기어가듯이
repent,기어다니는
reptile,기어다니는
scansorial,기어오르기에 알맞은
scandent,기어오르는
engram,기억 심상
earom,기억되어 있는 데이터를 전기적으로 바꿔 써 넣을 수 있는 롬
unremenbered,기억되지 않은
remembrance,기억력
retentivity,기억력
recollective,기억력이 있는
retentive,기억력이 좋은
parrotfashion,기억만으로
mnemon,기억소
mnemonics,기억술
mnemonic,기억술의
ransack,기억을 더듬다
rememberable,기억할 수 있는
agrobusiness,기업 농업
ci,기업 인식
decartelization,기업 집중 배제
trustify,기업 합동으로 하다
enterpriser,기업가
intrapreneurship,기업내 기업제도
lan,기업내 정보 통신망
incompany,기업내의
syndicate,기업연합
businesses,기업체
craftsman,기예가
tile,기와
tilery,기와 공장
tiling,기와 이기
tiler,기와 이는 사람
tegular,기와의
imbrication,기왓장 처럼 겹친 모양
forgone,기왕의
guyot,기요
appointing,기용
alarmism,기우
wobble,기우뚱거리다
comatose,기운 없이 졸리는
frisky,기운 좋게 뛰어다니는
exhilarative,기운나게 하는
invigorating,기운나게 하는
invigorate,기운나게 하다
refect,기운나게 하다
quickening,기운을 돋우는
invigorator,기운을 돋우어 주는 사람
pep,기운을 북돋다
inspiriting,기운을 북돋우는
recreate,기운을 회복시키다
elate,기운을북돋우다
exhilarate,기운을북돋우다
nervy,기운좋은
animated,기운찬
bouncing,기운찬
chipper,기운찬
dashing,기운찬
pert,기운찬
zippy,기운찬
crank,기울기 쉬운
cranky,기울기 쉬운
metacenter,기울심
declining,기울어
aslant,기울어져
atit,기울어져
tippy,기울어지기 쉬운
cockeyed,기울어진
tipsy,기울어진
declension,기욺
snooper,기웃거리며 돌아다니는사람
snoop,기웃거리며 서성대다
conjuration,기원
imprecation,기원
invocation,기원
supplication,기원
optative,기원법
zechariah,기원전 6세기의 예언자
conjure,기원하다
supplicate,기원하다
oddly,기이하게
geek,기인
oddity,기인
originality,기인
kooky,기인의
newsperson,기자 특파원 뉴스 캐스터
giza,기자이집트 부근의 도시
millet,기장
mollet,기장
insignia,기장
regalia,기장
skipper,기장
emblematist,기장고안자
registry,기재
diapers,기저귀
baseband,기저대역
hooter,기적
miraculously,기적적으로
miraculous,기적적인
emf,기전력
electrophorus,기전반
fainting,기절
swoon,기절
stupefied,기절초풍
dumbfounded,기절초풍
terminus,기점
fiducial,기점의
perissodactyla,기제류
keynote,기조
baselevel,기준면
bofey,기준타수
gin,기중기
hoist,기중기
cranage,기중기 사용권
allin,기진맥진하여
usedup,기진한
habitude,기질
proclivity,기질
stroma,기질
substrate,기질
trainsick,기차 멀미하는
entrain,기차에 태우다타다
fuselage,기체
gasdynamics,기체 역학
aerostatic,기체 정역학의
outgas,기체가 없어지다
aerometry,기체측정
underwork,기초 구조
planting,기초 밑층
olevel,기초 학력 시험
substructure,기초공사
underpin,기초를 보강하다
superweapon,기초병
basal,기초의
basilar,기초의
draftsman,기초자
baseplate,기초판
soleplate,기초판
carabineer,기총병
strafe,기총소사하다
linctus,기침 물약
cough,기침병
antitussive,기침약
tussive,기침의
etceteras,기타 등등
catalyst,기타리스트
chatty,기탄없는
fairminded,기탄없는
unreservedly,기탄없이
cylinder,기통
steamcylinder,기통
algolagnia,기통애
cylindered,기통의
praiseworthy,기특하다
blowhole,기포
bladdery,기포가 있는
favolate,기포가 있는
detonator,기폭약
fuze,기폭장치
priming,기폭제
amorce,기폭제
princely,기품 높은
demure,기품 있는
princeliness,기품이 있는 거동
distingue,기품있는
climactic,기풍
ethos,기풍
geep,기프
evasion,기피
skulk,기피하다
evade,기피하다
shirk,기피하다
gosh,기필코
geometrician,기하 학자
geometric,기하적인
geometer,기하학자
geometry,기하학책
indented,기한부
whimsicality,기행
travelogue,기행 영화
anamorphosis,기형
freakish,기형적인
talipes,기형족
teratoid,기형종의
dysmorphology,기형학
thymine,기호
mendelevium,기호 , Mv , 번호 10
logistic,기호 논리학
symbolism,기호 사용
semiolgy,기호 언어
sigla,기호 일람표
semiosis,기호 현상
marked,기호가 붙은
symbolization,기호로 나타냄
symbology,기호론
notational,기호법의
assembler,기호변환 프로그램
moneme,기호소
semiology,기호학
carburetion,기화
etherealization,기화
vaporization,기화
carburetor,기화기
vaporize,기화시키다
volatilize,기화시키다
opportunism,기회주의
fencesitter,기회주의자
opportunist,기회주의자
temporizer,기회주의자
climatograph,기후 그래프
climatic,기후상의
climatology,기후학
climatologist,기후학자
pneumothorax,기흉
gambado,긴 각반
sidewhiskers,긴 구레나룻
longies,긴 내의
chibouk,긴 담뱃대
jointer,긴 대패
pantalets,긴 드로즈
bodkin,긴 머리 핀
jobation,긴 사설
pennon,긴 삼각기
rebozo,긴 스카프
stocking,긴 양말
pilgrimage,긴 여행
tirade,긴 열변
settee,긴 의자
gauntlet,긴 장갑
jackboot,긴 장화
calumet,긴 파이프
pressing,긴급한
intertwined,긴밀히
instancy,긴박
bolster,긴베개
razorback,긴수염고래
rorqual,긴수염고래
indispensability,긴요성
screed,긴이야기
pendulum,긴자
detente,긴장 완화
entasia,긴장성
bracing,긴장시키는
tensional,긴장의
tensive,긴장의
constriction,긴축
constringency,긴축하는
gibbon,긴팔원숭이
guideboard,길 안내판
trackless,길 없는
stray,길 잃은
estray,길 잃은 가축
gilgamesh,길가메시
roadside,길가의
gutterman,길가의 싸구려 장수
lengthways,길게
iliad,길게 계속되는것
tippet,길게 늘어진 부분
wiredrawn,길게 늘여진
slit,길게 벤자리
lengthen,길게하다
balloonflower,길경
longwool,길고 거친 털을 가진 양
mortal,길고 긴
ria,길고 좁은 쐐기형 후미
epode,길고짧은행이번갈아있는서정시
guild,길드
guildsman,길드 조합원
guildhall,길드회의소
tamed,길든
tamely,길들어서
unbroken,길들여 지지 않은
tameness,길들여져 있음
taming,길들이기
untamed,길들이지 않은
tamable,길들일 수 있는
domestication,길들임
gilyak,길랴크족
nurser,길러주는 사람
guillotine,길로틴
packsaddle,길마
saddlebags,길마
solen,길맛
screeve,길바닥 화가 노릇을 하다
gilbert,길버트
euphobia,길보공포증
farer,길손
pathless,길없는
pathbreaker,길을 트는 사람
astray,길을잃어
longways,길이로
