abolish,철폐하다
confession,고백
configuration,배열
confine,국경
confrontation,대결주의자
congregation,교직원회
conquer,공략하다
consensus,교감
constitution,구조물
constitutional,구성상
contemplate,명상하다
contend,논쟁하다
contention,논쟁점
continually,빈번히
contradiction,당착
contrary,반대명제
contributor,공헌자
convict,기결수
cooperative,소비조합의
coordinator,동격으로 하는 것
cop,로야단맞다
copyright,저작권
correction,교정
correlate,상관물
correlation,상관관계
correspond,교신하다
correspondence,상응
correspondent,기고가
corresponding,상응하다
countless,무수하다
coup,대히트
creator,고안자
credibility,신뢰성
credible,신용할 수 있는
critique,비평법
crown,관을 씌우다
crude,노골적
crush,구김살 투성일 만들다
cutting,깎고 가는 가공
cynical,냉소적인
debut,데뷔
dedicated,전용의
deem,로 간주하다
default,불이행
defensive,방수
defy,반항하다
delegate,위임하다
delegation,위원단
delicate,나른한
demon,악마
density,농도
dependence,의존
deployment,비군사적 사역
deprive,저해하다
descent,내리받이
designate,명명하다
destructive,파멸시키는
detain,말리다
detention,구류
devil,고기에  후추를 발라  굽다
dictate,명령하다
dictator,구술자
differentiate,미분하다
dignity,관록
dilemma,궁지
dimension,용적
dip,살충액에 담그어 씻다
diplomatic,고문 서학의
directory,예배 규칙서
discharge,발사
disclose,노출시키다
disclosure,노출
discrimination,식별
dismissal,파면
displace,대치하다
dispose,배치하다
dispute,논쟁하다
disrupt,분열시키다
disruption,교란
distort,비틀다
distress,고난
divert,기분을전환하다
divine,성스럽다
doctrine,교리
documentation,문서조사
dominance,우성
donor,기부자
dose,복용시키다
drain,다 써버리다
drown,들리지 않게하다
dual,이원적인
dub,라고 부르다
dumb,깜작 놀라게 하다
eager,열망하여
echo,그대로 되풀이하여 대답하다
ecological,생태적
elaborate,면밀하게
eligible,뽑힐 자격 있는
elite,엘리트
embark,배에 태우다
embarrassment,당혹
embed,깊이 간직하다
embody,구체화하다
emergence,출현
enact,법률화하다
encompass,둘레
endorsement,시인
engaging,마음 끄는
enrich,풍부하게하다
enterprise,모험심
enthusiast,광
epidemic,유행병
equality,대등
escalate,점증하다
eternal,변함없다
evacuate,명도하다
evolutionary,진화적인
exaggerate,과장하다
excellence,능가
excess,과다
exclusive,배타적인
execute,서명 날인하다
exile,국외추방
experimental,실험용
expire,만기가 되다
explicit,노골적
extremist,과격파
facilitate,쉽게 하다
faction,당내의 당
faculty,대학고교의 전교직원
fairness,공명 정대
fatal,치명적
feat,공적
feminist,여권 주장자
fierce,매섭다
firearm,화기
fixture,공작물
fleet,기단
flexibility,구부리기 쉬움
flourish,번영하다
fluid,아름답고 부드러운.
footage,동영상
foreigner,외국선
forge,꾸며대다
formula,공식규격에 따른
formulate,공식으로 나타내다
forthcoming,곧 나오려고하는
fragile,부서지기 쉬운
franchise,선거권
frustrated,바질바질
frustration,좌절
functional,기능적
funeral,장례행렬
gambling,노름
gathering,곪음
gaze,응시하다
generic,총칭적인 -속명
genocide,몰살
glance,번쩍 빛나다
glimpse,흘긋 보다
glorious,장려한
glory,득의 양양함
governance,지배
grave,근심스럽다
grief,불운
grin,씩웃다
grip,고착하다
gross,그로스
hail,빗발치듯 쏟아지다
halfway,반쯤
halt,정류소
harassment,괴롭힘
hardware,무기류
harmony,금실
haunt,마음에 붙어 다니다
hazard,모험
heritage,유전
hierarchy,성직자단
hint,넌지시 비추다
hopeful,유망한
horizon,수평선
horn,뿔로 받다
hostile,적의 있는
hostility,적대
humanitarian,박애주의자
humanity,라틴 문학
hydrogen,수소
identification,신분 증명
ideological,공리 공론의
ignorance,무식
imagery,심상
immense,막대하다
imminent,박두한
implementation,실행
inability,무능
inadequate,적성이 없는
incidence,귀착
incur,입다
indictment,고발
indigenous,지역 고유의
induce,권유하다
indulge,대사를 베풀다
infamous,불명예스러운
influential,세력있는
inherent,본래부터의
inhibit,못하게막다
initiate,신입자
injection,관장약
insertion,끼워넣음
insider,내막에 밝은 사람
instinct,배어든
institutional,성직 수임의
instrumental,조격
insufficient,미흡하다
insult,모욕하다
intact,그대로인
intake,들이마시다
integral,완전체의
integrated,융화된
integration,융합
intensify,보력하다
intent,여념이 없다
interactive,서로 작용하는
interference,불법방해
interior,국내무역
intermediate,중간에 일어나는
intervene,끼이다
intimate,넌시지 알리다
investigator,조사자
invisible,눈에 안보이는
invoke,기원하다
involvement,말려들게함
ironic,반어의
ironically,반어적으로
irony,반어
irrelevant,대중이 틀린
jurisdiction,관할
justification,옹호
kidnap,유괴하다
kingdom,왕국
landlord,바깥 주인
laser,레이저
latter,근자의
lawsuit,대인 소송
legacy,전승물
legendary,전설적
legislation,입법
legislature,입법부
lengthy,장황한
lesbian,동성연애자
lesser,보다작은
lethal,치사적인
liberal,교양적인
liberation,해방
lifelong,일생의
linear,선의
literacy,읽고 쓰는 능력
loom,직기
loyalty,로열티
magical,마법의
magnetic,매력 있는
magnitude,광도
mainland,본토
maintenance,보지
mandatory,명령의
manipulate,조작하다
manipulation,조작
marginal,언저리의
mature,만기가 되다
meantime,이럭저럭하는 동안에
meditation,명상
memoir,실록
memorial,기념하는
mentor,신용 있는 조언자
mercy,고마움
merge,몰입케 하다
merger,합동
merit,공죄
methodology,방법론
militant,싸우고 있는
militia,국민군
minimal,극소의
minimize,최소로하다
mining,광업
miracle,불가사의
misery,비참
misleading,오도하는
mob,군중
modification,수식
momentum,여세
monk,수도사
monopoly,독점물
motive,동기
motorist,자동차 운전자
municipal,시의
nationwide,전국적으로
nest,깃들이다
newsletter,시사회보
niche,벽감
nominate,이름을 들다
nomination,선임
nominee,수령명의자
nonetheless,그럼에도 불구하고
nonsense,난센스
notable,명망가
notorious,이름난악명높은
nursery,보육학교모아치기
objection,난점
occasional,때때로의
offering,매출
offspring,자손
operational,사용중인
opt,선택적 거부권
optimism,낙관
oral,구술
outlet,배출구
outsider,외부 사람
overturn,뒤집다
overwhelming,압도적
pad,길게 하다
parameter,모수
parish,교구
partial,부분적인
partially,대충대충되다
passing,목전의
passive,피동
pastor,정신적 지도자
patch,깁는 헝겊
patent,열려 있는
pathway,오솔길
patrol,소년단의 반
patron,후원자
peak,첨단
peasant,시골뜨기
persistent,고집하는
personnel,요원
petition,기원
pipeline,도관으로 보내다
pirate,침해자
pit,곰보를 만들다
plea,탄원
plead,답변하다
plug,고형담배
plunge,다이빙하다
pole,극
poll,선거인  명부
pond,연못
portfolio,손가방
preach,설교하다
precedent,선례
precision,적실성
predator,포식자
predecessor,선조
pregnancy,내용 충실
prejudice,비뚤어진 생각
premise,미리 말하다
premium,덧돈
prescribe,명령하다
prescription,시효
presently,목하
preside,사회하다
presidency,통솔
presidential,주재
presumably,그럴 듯하게
prevail,설복하다
prevalence,널리 행해짐
prey,먹이로 하다
privatization,민영화
probe,공중 급유용 파이프
problematic,다루기 어려운
proceeding,소송절차
proceeds,매상고
processor,언어 처리 프로그램
productive,기름지다
productivity,다산
profitable,유리
projection,돌출
prominent,극명
prosecute,고소하다
prosecution,고발
prosecutor,기소자
prospective,예기된
prosperity,번영
protective,보호 무역의
protocol,의례
province,영토
provincial,조야한
provoke,불러 일으키다
pump,넘겨짚어 알아내다
punch,구멍 뚫는 기구
query,질문부호
quota,할당액
radar,레이더
radical,과격론자
raid,급습
rally,고무하다
ray,광선을 비추다
readily,서슴없이
realm,국토
reassure,다시 용기를 내게 하다
rebel,남부 백인
recipient,수납자
referendum,국민투표
refuge,도피처
regain,다시 도착하다
regime,정권
regulator,선거 조사위원
regulatory,조절하는
reign,군림
reliability,믿음직함
reluctant,다루기 힘드는
remainder,따로 남겨 놓은
remedy,교정법
reminder,독촉장
render,교부하다
renowned,명성있는
rental,임대차물
replacement,교대작용
reportedly,소문에 의하면
republic,공화 정체
residue,잔류물
resignation,단념
resistance,레지스탕스
respective,저마다의
respectively,제각기
resume,다시 계속하다
retreat,귀영의 나팔
retrieve,구출하다
revenge,보복
revolutionary,미국 독립전쟁의
rhetoric,수사
riot,다채로움
ritual,반드시 지키는 일
rotate,교대시키다
ruling,괘를 그음
rumour,소문내다
sack,누
sacrifice,제물
saint,성
sake,위함
scattered,성긴
scope,퍼짐
screw,억지로 깍다
scrutiny,음미
seal,날인하다
secular,백년 계속되는
segment,분절
selective,도태의
senator,상원의원
sensation,센세이션
sentiment,다감
shareholder,주주
shatter,부수다
shipping,배에 싣기
shrink,뒷걸음질 치다
simulate,으로 가장하다
simultaneously,동시의
situated,입장에 놓인
sketch,사생화
slam,전승하다
slap,손바닥으로 때림
slavery,고역
smash,대만원
snap,꽝당다
socialist,사회당원
solicitor,법무관
solidarity,단결
solo,독무대
sovereignty,독립국
specification,내역
specimen,표본
spectacle,구경거리
sphere,구
spin,눈이 핑 돌다
spotlight,스포트라이트
spouse,배필
spy,면밀히 조사하다
stab,덤벼들다
stabilize,안정시키다
standing,관에 박힌
stark,뻣뻣해져서
statistical,통계적인
steer,에 관계하지 않다
stereotype,상투 수단
stimulus,고무
storage,보관료
strategic,국외 의존의
striking,두드러진
stumble,더듬거리다
subscriber,기명자
subscription,응모
subsidy,보조금
substantially,든든히
substitute,대리를 하다
substitution,대리
subtle,미세하다
suburban,도시 근교 특유의
successive,연속적인
successor,뒤를 잇는 사람
sue,고소하다
suite,조곡
superb,장려한
supplement,보족
supposedly,상상상
supreme,지고의
suspicion,낌새챔
suspicious,괴이쩍은
sustain,부양하다
syndrome,증후군
tactical,병학의
taxpayer,납세자
terrific,굉장한
testimony,신앙 성명
theatrical,극장의
theology,신학
thereafter,후로는
threshold,문간
thrive,번영하다
tighten,바싹 죄다
timely,때에 알맞은
tolerance,공차
toll,사상자
torture,고문
toxic,독의
transaction,초악티니드 계열
transcript,등본
transit,운송
transmission,발신
transparency,명료
treaty,조약
tremendous,대단한
tribunal,법관석
triumph,전승
trophy,상배
troubled,시다리다
trustee,관재인
undergraduate,재학생
underlying,기초를 이루는
undermine,은밀히 손상시키다
undoubtedly,의심할 여지없이
unprecedented,선례가 없는
unveil,정체를 드러내다
upgrade,승격시키다
uphold,받치다
vacuum,공허
vague,막연
validity,수출인증액
vanish,영이되다
variable,번이하는
vein,기질
verbal,동사의
verify,동사화하다
vessel,노여움의 그릇 노여움을 받은 사람들
veteran,노련자
viable,생존할 수 있는
vibrant,울려퍼지는
vice,대리로서
vicious,악습이 있는
villager,마을 사람
vulnerability,상처받기 쉬움
warehouse,수탁고
warfare,교전
warrant,보증하다
warrior,무인
weaken,우유 부단하게 되다
whereby,그에 의하여
widow,돌리고 남은 패
willingness,쾌히 하기
wit,재기
withdrawal,철퇴
workout,때려 눕히기
worthy,훌륭한
yield,산출하다
flesher,고기 장수
tormentor,고기 집는 긴 포크
meatpie,고기 파이
vegetarian,고기가 들지 않은
meaty,고기가 많은
meatness,고기가 많음
grill,고기구이 요리
fleshpot,고기냄비
archives,고기록
cannibalize,고기를 먹다
carver,고기베는 나이프
carving,고기베어내기
anticydlonic,고기압성의
goulash,고기와 야채의  스튜요리
olio,고기와 채소를 섞어 끓인 요리
halieutics,고기잡는법
fisherboy,고기잡이 소년
fisherboat,고기잡이배
fishable,고기잡이에 알맞은
halieutic,고기잡이의
aspic,고기젤리
pasty,고기파이
puddingpie,고기푸딩
paleclimate,고기후
brewis,고깃국
broth,고깃국
gravy,고깃국물
cowl,고깔
cucullate,고깔 모양의
cowled,고깔을 단
chuckle,고꼬 울다
tribulation,고난
agony,고뇌
anguish,고뇌
martyrdom,고뇌
woe,고뇌
haunted,고뇌에 시달린
anguished,고뇌에 찬
gouda,고다 치즈
godardian,고다르풍의
godiva,고다이바
fatigured,고달프다
parnassian,고답파의
ancientry,고대
godetia,고데티아
altitude,고도
altometer,고도계
altimeter,고도측량기
reclusion,고독
solitude,고독
caldarium,고돈 욕실
beating,고동
heartthrob,고동
shutoff,고동
stopcock,고동
turncock,고동
paleozoology,고동물학
buckskin,고동색
ginger,고동색
palpitant,고동치는
throbbing,고동치는
drudgingly,고되게
burdensome,고된
toilsome,고된
yakka,고된 일
kowtow,고두
icicle,고드름
gordon,고든
gordonsetter,고든세터스코틀랜드 원산의 털이 검은 중형의 사냥개
aerobatic,고등 비행의
kb,고등법원
justiciar,고등법원 판사
seerfish,고등어 무리
scomber,고등어 속의 각종 물고기
higher,고등의
oyer,고등형사 재판소
gothic,고딕 건축의
gothicize,고딕 양식으로 하다
gothicism,고딕식
gothically,고딕식으로
grotesque,고딕체
hart,고라니의 수컷
hind,고라니의 암컷
driller,고랑파는 사람
fenks,고래 기름의 찌꺼지
gam,고래 떼
baleen,고래 뼈
whalebone,고래 수염
boned,고래 수염을 넣은
whaleman,고래 잡이
vociferation,고래고래 소리지르기
cetacea,고래류
cetacean,고래류의
cetaceous,고래류의
cetus,고래자리
whaling,고래잡이
durra,고량
kaoliang,고량
kaoline,고령토
graying,고령화
conservatism,고루
inconvincible,고루
gorgoneion,고르고네이온
gorgonian,고르곤의
optant,고르는 사람
gorbachec,고르바초프소련의 정치가
irregularly,고르지 않게
erose,고르지 않은
scraggly,고르지 않은
noose,고를 내어 묶음
uniformity,고름
pus,고름
suppuration,고름
mattery,고름으로 가득 찬
maturative,고름을 빨아내는 약
suppurate,고름이 나오다
usury,고리
gombeen,고리대금
circularity,고리모양
osierbed,고리버들밭
linkwork,고리세공
bushing,고리쇠
hyperlipoproteinemia,고리포 단백혈
corinthian,고린도서
ape,고릴라
gorilla,고릴라
enclave,고립된영토
insularism,고립성
vietnamese,고립어
isolationism,고립주의
isolationist,고립주의자
encirclement,고립화
tympanic,고막의
unappreciated,고맙게 여겨지지 않는
gratefulness,고맙게 여김
mercifully,고맙게도
merci,고맙습니다
garnish,고명
garniture,고명
relish,고명
renown,고명
repute,고명
rampike,고목
incitement,고무
invigoration,고무
rubbery,고무같은
animator,고무자
prompter,고무자
gumma,고무종
elastic,고무줄
gumminess,고무질
aft,고무쪽에
mucilage,고무풀
adviser,고문
counselor,고문
classics,고문
camarilla,고문단
paleography,고문서
diplomatics,고문서학
sternward,고물로
abaft,고물에
astern,고물에
antiquarian,고물연구
antiquary,고물연구가
junkman,고물장수
loft,고미다락
cockloft,고미다락방
agonizing,고민을 주는
agonal,고민의
accuser,고발인
informer,고발자
confessional,고백의
confiteor,고백의 기도
confessant,고백자
confessor,고백자
disbosom,고백하다
unbosom,고백하다
farewell,고별
fbs,고복시 혈당
altorelievo,고부조
tumulus,고분
loculus,고분내의 시체실
gobelin,고블랭천의
rein,고삐
terret,고삐 꿰는 고리
bridle,고삐를 매다
reinless,고삐없는
bracken,고사리
brake,고사리
acrogen,고사리이끼류
alpine,고산의
sublimity,고상
delicately,고상하게
lofty,고상하다
courtly,고상한
sublime,고상한
tasty,고상한
couth,고상함
elegance,고상함
patina,고색
hoariness,고색 창연함
paleozoic,고생대
paleontology,고생물학
peleontologist,고생물학자
painstaking,고생스러운
taxing,고생스러운
toilful,고생스러운
bittersweet,고생스럽고도 즐거운
sufferer,고생하는 사람
toiler,고생하는 사람
painfully,고생하여
hardearned,고생하여 얻은
paleobiochemistry,고생화학
paleohabitat,고서식지
bouquiniste,고서적상
curvaceous,고선미의
stranded,고성낙일
goshen,고센 땅
crimination,고소
delation,고소
impeachment,고소
lawnsuit,고소
plaint,고소
rap,고소
acrophobia,고소 공포증
acrophobe,고소 공포증인 사람
uncharged,고소 당하지 않은
chargeable,고소되어야할
upscale,고소득층에 속하는
accusatory,고소의
accusable,고소해야 할
upshift,고속 기어로 바꿈
autopista,고속 도로
autostrada,고속 도로
vim,고속 우편물집재 장치
speedster,고속 운전자
fbr,고속 증식로
comptometer,고속도 계산기
slowmotion,고속도 촬영의
shunpiking,고속도로를 피하여 뒷길을 사용하기
highspeed,고속도의
rev,고속으로 운전하다
autobahn,고속차 전용 도로
drummer,고수
stickman,고수
coriander,고수풀
hedgehog,고슴도치
paleobotany,고식물학
temporizing,고식적인
painless,고심
lucubration,고심의 노작
lucubrate,고심하여 저작하다
elaborator,고심하여만드는 사람
goa,고아
orphanage,고아
orphanhood,고아신세
cogitation,고안
ingenuity,고안력
deviser,고안자
cogitate,고안하다
contrive,고안하다
pressurize,고압 상태에 두다
compreg,고압 합판
hyperbaric,고압산소요법의
highpressure,고압의
hightension,고압의
overbearingly,고압적으로
goyaesque,고야풍의
plaster,고약
salve,고약
ointment,고약
sealent,고약
felv,고양이 백혈병 바이러스
cattery,고양이 사육장
felinity,고양이 성질
mew,고양이가
felid,고양이과의
feline,고양이과의
catamount,고양이과의 야생동물
archaism,고어
tushery,고어를 많이 써서 멋부린 문체
highenery,고에너지 입자의
heao,고에너지 천문대
servitude,고역
geriatric,고연령의
ebolavirus,고열과 내출혈을 일으키는 열대 전염병 바이러스
defoliant,고엽제
highoctane,고옥탄가의
htr,고온 원자로
pyrometer,고온계
thermophile,고온균
peleotemperature,고온도
calorize,고온에서 알루미늄을 입히다
quietude,고요
stillness,고요
tranquility,고요의 바다
silently,고요하게
restful,고요한
serene,고요한
quietism,고요함
calmly,고요히
serenely,고요히
hiring,고용
hired,고용되다
hirer,고용주
padrone,고용주
plateau,고원
tableland,고원
soaring,고원한
paleolatitude,고위도
jobs,고위층
executives,고위층
characteristics,고유
proprioceptive,고유 수용의
resistivity,고유저항
paleogenetics,고유전학
eigenvalue,고유치
paleolimnology,고육수학
madras,고은 무명
bourg,고을
premeditation,고의
deliberateness,고의
wittingly,고의로
stagnate,고이다
goitrogen,고이트러젠
dolmen,고인돌
paleoanthropology,고인류학
mischief,고자
taleteller,고자쟁이
talebearing,고자질
talebearer,고자질쟁이
sneak,고자질하다
snitch,고자질하다
hypertonic,고장의
classicize,고저식으로 하다
altocumulus,고적운
classicism,고전 관용표현
humanistic,고전 문학적인
scholium,고전 방주
scholiastic,고전 주석의
preclassical,고전기 이전의
apollonian,고전미를 갖춘
scholiast,고전의주석자
classicist,고전주의자
numismatology,고전학
fixation,고정
fixedness,고정
immobility,고정
immobilize,고정시키다
rivet,고정시키다
fid,고정재
immobilization,고정화
lockin,고정화
paleogene,고제 3기
uprush,고조
elation,고조
landwash,고조선
harmonic,고조파
decametric,고주파 무선의
fulguration,고주파 요법
fulgurating,고주파 요법의
radioamplifier,고주파 증폭기
huffduff,고주파대 잠수함 탐지기
insonify,고주파음파를 발사하다
highfrequency,고주파의
highland,고지
upland,고지
annumciator,고지 자표 시기
paleogeography,고지리학
hyperlipemia,고지방혈
credulity,고지식함
herald,고지자
paleomagnetism,고지자기
annunciate,고지하다
inveteracy,고질
recalcitraton,고집부림
bigotry,고집불통
headily,고집세게
insistently,고집세게
incompliant,고집센
pigheaded,고집센
selfopinionated,고집센
unbending,고집센
froward,고집센.
headiness,고집셈
impracticability,고집셈
impenetrable,고집스러운
intractability,고집스러움
needs,고집스럽게히겠다고 주장하다
recalcitrate,고집을 부리다
thrawart,고집이 센
hardnose,고집이 센 사람
bullhead,고집쟁이
recalcitrant,고집쟁이
rockhead,고집쟁이
donkey,고집통이
assertive,고집하는
tenacious,고집하는
sticker,고집하는 사람
fastness,고착
tympanites,고창
flatulence,고창
junk,고철
minimill,고철 재생 공장
archaistic,고체
yeast,고체이스트
readorn,고쳐 꾸미다
hash,고쳐 만듦
unthink,고쳐 생각하다
rewrite,고쳐 쓰다
rescript,고쳐 쓴 것
redraft,고쳐 쓴 초고
madeover,고쳐만든
rephrase,고쳐말하다
incorrigible,고쳐지지 않는
alaking,고추등을 넣고 크림을 친
tabasco,고추로 만든 매운 소스
hifi,고충실도
highfidelity,고충실도의
highriser,고층 건물
highrise,고층 건물의
skyscraper,고층 건축물
sonde,고층 기상 측정기
tropospheric,고층 기상의
aerology,고층 기상학
altostratus,고층운
electrojet,고층전류
cocoon,고치
intractable,고치기 어려운
mendable,고칠 수 있는
immedicable,고칠수 없는
inflexible,고칠수 없는
incorrigibility,고칠수 없음
curable,고칠수 있는
kart,고카트
transtage,고켓의 제 3단
gotham,고텀 마을
easement,고통 따위의 완화
torturous,고통 스러운
sore,고통거리
soreness,고통거리
irrelievable,고통등 제거할수 없는
aggrieved,고통받고 있는
ridden,고통받은
distressful,고통스런
impassible,고통을 느끼지 않는
impassive,고통을 느끼지 않는
impassibility,고통을 느끼지 않음
afflictive,고통을 주는
punishing,고통을 주는
inflictive,고통의
goth,고트 사람
grop,고프
shouting,고함 소리
pierce,고함 소리 따위가 날카롭게 울리다
rant,고함소리
bawl,고함지르다
ranter,고함치는 사람
thunderer,고함치는 사람
roar,고함치다
penance,고해
penitential,고해 세칙서
penitentiary,고해 신부
unpurged,고해를 속죄받지 않은
penitent,고해자
asceticism,고행
mortification,고행
ascetic,고행의
mortificationing,고행의
mortifying,고행의
hypertension,고혈압
bloodsucker,고혈을 빠는 사람
pancake,고형분
hdtv,고화질
bollocks,고환
testiculate,고환 모양의
paleoenvironment,고환경
hydrocele,고환류
testiculat,고환의
chopper,곡 써는 큰 식칼
caryopsis,곡과
mattock,곡괭이의 일종
keener,곡꾼
curvature,곡도
phantasm,곡두
cereal,곡류
corny,곡류의
gilly,곡마단의 운반차
equestrianism,곡마술
complanation,곡면 구적법
biflex,곡면이 둘 있는
cereals,곡물
cornfield,곡물밭
howitzer,곡사포
opisometer,곡선계
cylindroid,곡선주
farina,곡식 가루
grist,곡식가루
grainfield,곡식밭
litotes,곡언법
acrobatics,곡예
jumpathon,곡예 낙하산강하 경기
aerobatics,곡예비행
stunts,곡예비행
circumflex,곡절 악센트가 붙은
orphean,곡조가 아름다운
brad,곡종
garner,곡창
granary,곡창
weeper,곡하는 사람
falsification,곡해
misconstruction,곡해
perversion,곡해
falsifier,곡해자
perverse,곡해하는
perversive,곡해하는
contorting,곡해하다
pervertible,곡해할 수 있는
plight,곤경
hardset,곤경에 빠진
indigence,곤궁
needness,곤궁
purler,곤두박이
headfirst,곤두박이로
precipitately,곤두박질로
brisling,곤두선
bristly,곤두선
unmolested,곤란받지 않은
entangle,곤란케 하다
claviform,곤봉 모양의
clubbed,곤봉 모양의
cosh,곤봉으로 치다
roe,곤이
cudgel,곤장
bastinado,곤장 치다
tomtit,곤줄박이
goncharov,곤차로프
aurelian,곤충 채집가
bughunter,곤충 학자
insectarium,곤충관
disinsectization,곤충구제
insectival,곤충다운
ocellus,곤충등의 단안
entomologize,곤충을 채집하다
entomic,곤충의
midleg,곤충의 둘째번 다리
bughunting,곤충채집
entomology,곤충학
insectology,곤충학
entomologically,곤충학상
entomologist,곤충학자
entomological,곤충학적인
bafflement,곤혹
perplexity,곤혹
swither,곤혹
hacked,곤혹스러운
resilient,곧 기운을 회복하는
resile,곧 기운을 회복하다
evanescent,곧 시들어 떨어지는
forthwith,곧 실행해야할 명령
selfliquidating,곧 현금화되는
forthright,곧게 나아가는
upright,곧게선
ramrod,곧은
unbent,곧은
rectitude,곧음
plainly,곧이곧대로
straightforwardly,곧이곧대로
mistyeyed,곧잘 눈물을 글썽거리는
moper,곧잘 침울해지는 사람
synostosis,골격 유착
golgotha,골고다
sickly,골골하다
osteoartritis,골관절염
endosteum,골내막
follicle,골돌과
curio,골동품
intently,골똘하게
recherche,골라 뽑은
colossae,골로사이
colossian,골로새서
goliath,골리앗
periosteum,골막
raspatory,골막 박리기
periostitis,골막염
immersion,골몰
thumbstall,골무
pelvis,골반
alcove,골방
phrenology,골상학
marrow,골수
osteomyelitis,골수염
caries,골양
osteoporosis,골연증
rickets,골연화증
osteitis,골염
resentful,골을 잘 내는
barebones,골자만
osteoma,골종
corded,골지게 짠
golgiapparatus,골지장치
corrugated,골진
bony,골질
thalweg,골짜기선
sniffling,골짝골짝
golconda,골콘다
chive,골파
scallion,골파
shallot,골파류
tabula,골판
rushlike,골풀같은
rushy,골풀같은
frail,골풀바구니
golfer,골프를 치는 사람
osteology,골학
fester,곪게하다
putrefies,곪다
purulent,곪은
hazing,곯리기
bearskin,곰 가죽
ursine,곰같은
perpend,곰곰 생각하다
ruminate,곰곰 생각하다
noodle,곰곰생각하다
brood,곰곰히 생각하다
stockpot,곰국용 냄비
pockmark,곰보
variolite,곰보돌
variolous,곰보의
gombroom,곰브룬
peddling,곰상스러운
pernickety,곰상스러운
coati,곰의 일종
mildew,곰팡나다
moldy,곰팡난
mouldy,곰팡난
musty,곰팡내 나는
fusty,곰팡내나는
must,곰팡이
comminute,곱게 빻다
drape,곱게주름잡아 걸치다
talc,곱돌
talcum,곱돌
humpback,곱사등
hunchback,곱사등
humpbacked,곱사등의
crookback,곱사등이
bowback,곱사등이의
crookbacked,곱사등이의
hucklebacked,곱사등이의
rickety,곱사등이의
distorted,곱새긴
multiplicand,곱셈
ringlety,곱슬곱슬 말리는 경향이 있는
crimp,곱슬곱슬하게 지지다
crispy,곱슬곱슬하게 하다
wavy,곱슬곱슬하게 하다
crispation,곱슬곱슬하게함
curliness,곱슬곱슬함
frizz,곱슬곱슬함
crimple,곱슬곱슬해지게 하다
frizzy,곱슬하게 지져진
numbly,곱아서
multiplication,곱절
whither,곳으로
conglobulate,공 모양으로 모이다
globelike,공 모양의
orbicular,공 모양의
vacuity,공 허
dimocceras,공각수
spatioperceptual,공간 지각의
spatiotemporal,공간과 시간상의
extensity,공간성
spatiality,공간성
spaceless,공간을 차지하지 않는
spatial,공간의
spatially,공간적으로
chantage,공갈
