academic,대학의
naturally,꾸밈없이
necessarily,기필코
needle,나침
net,거미줄
nor,도 아니다
northern,북부 각주의
note,곡조
nuclear,원자무기의
odd,홀짝
official,공의
operation,가동
organized,노동조합에 가입된
organizer,발기인
ours,우리의 것
outdoor,문밖의
painful,고통스럽게
pale,엷게 하다
pan,상판대기
participate,관여하다
path,진로
payment,급부
persuade,권유하다
photographer,사진사
photography,사진술
pipe,파이프, 배관, 관; 파이프 담배
pleasant,탐탁
plot,음모
plus,더하기의
poem,아름다운 물건
poison,독, 독약; 해악; 독살하다
poisonous,독한
policy,담화문
politician,정객
port,무역항
portrait,인물 사진
possibly,까딱하면
pot,마리화나에 건 돈
poverty,궁경
powder,가루로하다
powerful,강력한
practical,실리적
prayer,간원
prepared,조제된
press,간원하다
pretend,공상상의
previous,너무일찍 서두른
previously,이전에
primary,1차의-제 1위의 사물
prisoner,붙잡힌 사람모르고 잡아두다
producer,연출가
profession,공언
promote,통과에 노력하다
properly,마땅히
protest,동맹파업
prove,검산하다
punish,응징하다
qualified,면허 받은
qualify,으로 간주하다
queue,대기행렬
quit,면하여
quotation,견적
quote,견적하다
racing,경마의
rare,귀한
rarely,드문드문하다
receipt,납부
recommendation,권고
reference,가리킴
regularly,격식대로
reject,각하하다
relate,관련이 있다
related,연계적인
relative,관계대명사
relaxed,긴장을 푼
relaxing,나른한
release,개봉
reliable,미덥다
religious,거룩한
remind,상기시키다
remote,외딴, 먼; 원격의; 희박한
rent,끊어진 틈
repeat,다시 경험하다
repeated,되풀이된
require,할필요가 있다
resource,기략
respect,개소
responsible,분별있는
retire,물러가다
retired,궁벽한
revise,교열하다
risk,감행하다
robot,기계적으로 일하는 사람
roll,감아 올리는 녹로
romantic,공상 소설적인
royal,공공 기관.시설.단체의 이름에서는 반드시 왕립이라는 뜻은 아님
rugby,럭비
sample,견본
scan,주사하다
scientific,과학적인
script,방송원고
secondary,부수적
sensible,분별 있는
servant,고용인
setting,배경, 환경; 설정, 장소
sex,성교
shell,깍지
shift,꾸려나가다
shiny,번들거리는
shoot,발사하다
sight,목격
signal,군호
silent,무언으로
silly,어리석은
similarity,상사
similarly,똑같이
sink,낮게하다
slice,곡구로 치다
soil,더럼
southern,남주 제주의
specifically,명수
spoken,구술
staff,권표
standard,표준, 기준; 일반적인, 표준의
stranger,낯선 사람
strength,강하기
strongly,강경히
sudden,갑작스런
suffer,배기다
supply,만족시키다
supporter,가터
surface,겉보기
symptom,증후
technical,기술적
tend,간호하다
tent,텐트
theory,공론
though,그래도
throat,후문
throughout,내처
tight,갑갑하다
till,귀중품함
tin,양철
tongue,널름거리다
trick,속여서 시키다
truth,사실은
tube,관, 튜브; (영국) 지하철
type,의 전형이 되다
typically,예에 따라
unable,할 수 없는
unemployed,실직한
unemployment,실업
unless,만약이 아니면
unlike,과 달라서
unlikely,가망없는
unpleasant,불쾌하다
update,갱신
upon,압박하다
upset,당황케 하다
used,에 익숙하여
version,입장에서 본 어떤 사건의 설명
victim,산 재물
viewer,검사관
violent,폭력적인, 격렬한, 맹렬한
volunteer,자발적으로 나서다
vote,부결하다
weigh,달아서 나누다
western,서반구의
whenever,할 때에는 언제든지
whether,어떻등
wonder,놀라움
wool,고수머리
worldwide,세상에 널리 알려진
written,문어
youth,연소
accord,일치
sovereign,군주
enlistment,응모
enrollment,등록
input,인풋
palate,구개
situation,물정
clothe,싸다
gauge,계량기, 측정기; 측정하다, 판단하다
scale,흐림
pride,거만
sisters,자매
suicide,자멸
posture,자세
natural,그냥 이기게 되는 두장의 패
resources,자력
autonomy,자율
vestige,발자취
agency,대리권
lawn,잔디, 잔디밭
jumper,급등시키다
submarine,바다속의
dragonfly,잠자리
playing,장난
genre,장르
fittings,비품
dealer,상안
decoration,꾸밈
someday,멀지 않아로 바꾸어 쓸 수 있음
incessant,그칠새 없는
gauge,계량기, 측정기; 측정하다, 판단하다
revival,재생
finances,금융
recycling,재사용
everyone,일동
spoil,곯리다
aptitude,적성
adaptation,각색
appropriateness,적의
relevance,적당
suitability,어울림
unfolding,전개
expansion,전개
evolve,발전시키다
prospect,가망
observe,거행하다
displayed,전시된, 진열된; 나타난
convert,개심시키다
absolute,기계어로 쓰인
despair,절망
hopelessness,가망없음
thrift,검약
formalities,절차
procedure,절차, 수속, 과정
inspection,감사
decent,반듯하다
proximity,접근
adjoin,서로 이웃하다
normalcy,규정도
normality,정상
devotion,경주
psychiatry,정신과
noon,낮 휴식을 취하다절정에 달하다
honesty,성실
uprightness,정직하다
exclusion,몰아냄
removal,배제
systematic,규칙바른
giving,제안
restriction,제약
manufacture,남작하다
submission,굴복
scrap,오려낸 것
shellfish,조개
clam,말없는 사람
jogging,조깅
lighting,점등
illumination,일루미네이션
seasonings,조미료
condiments,조미료
tune,음조를 정조하다
coordination,공동작용
coordinate,대등의
concordant,일치하는
harmonious,균형잡힌
matching,어울리는
symmetrical,균형이 잡힌
existence,생존
esteem,간주하다
drowsy,졸리다
sleepiness,졸음
drowsiness,나른함
restrict,좁히다
synthesize,종합하다
integrate,각 부분이 갖추어져있는
residing,주거
dwelling,주거
subjective,주관적
wrinkles,주름
inhabitants,주민
dwellers,주민
stock,가계
assertion,단언
insistence,고집, 주장, 강조
interruption,중단
suspension,매달림
stopped,중단되다
instantly,당장에
impromptu,선뜻
augmentation,증가
proof,튼튼하게 하다
securities,유가증권
deed,증권
perception,지각, 인식, 통찰력
consciousness,감지
tiring,지겹다
zone,지대
instruct,교육하다
grease,그리스
lard,돼지기름
directions,지시
orders,납품
helping,거들어줌
supporting,받치는
aiding,지원
aspire,갈망하다
status,위상
soiled,때묻다
intellectual,머리를 쓰는
brainy,머리가 좋은
backing,등붙이기
expenses,씀씀이
expenditure,지출
wisdom,분별 현인
wits,지혜
diagnosis,진단
vibration,떨림
sincerity,단성
honestly,정직하게
truthful,정직한
earnest,열심인
travail,노고
qualitative,질적
guess,짐작
conjecture,어림짐작
infer,짐작하다
housework,집안일
squeeze,곤경
drugs,찌꺼기
sediments,찌꺼기
hack,3류작가
stamped,찍히다
tear,당겨 벗기다
rend,분열시키다
split,갈라지다
margin,증거금
cars,차량
distinction,갈피
differentiation,미분
hallucination,착각
illusion,미망
approval,결재
assent,동의하다
participation,간여하다
joining,가맹
consult,상담하다
faithful,참되다
creation,만물
origination,기점
creatively,독창적으로
marking,반문
grading,채점
scoring,관현악보 작성
penalty,처벌
heaven,상공
discretion,분별
steel,강철, 철강; 단단하게 하다
railroad,철도
thoroughness,철저하다
cleanliness,깨끗함을 좋아함
thoroughly,두루
philosophy,객체
philosopher,철인
philosophical,철학적
organizational,체계적
gymnasium,체육관
gymnastics,체조
irritated,신경질이 난
unfashionable,촌스럽다
newest,최신
propulsion,추진
presence,면전
publication,발행
publishing,출간
shocking,망측한
counsel,권고
clash,덜그럭거리다
discord,불일치
collide,일치하지 않다
selection,가려냄
liking,비위
reckon,간주하다
calculate,계산해 내다
silence,무소식
taciturnity,과묵, 말수가 적음, 침묵
composure,침착
ketchup,케첩
course,경과
cosmos,완전체계
classic,전통적인
gifted,타고나다
depravity,타락
corruption,개악
degradation,격하
prominent,저명한, 탁월한; 눈에 띄는
fault,결점
blame,가책
select,극상의
grounds,근거, 이유; (건물 주변) 부지, 땅
hollow,골허하다
terror,무서운사람
contest,경연
statistics,통계
interpreting,통역
consolidate,통일하다
unity,단일
unification,단일화
investment,서임
voting,투표
splash,착수하다
splatter,튀기다
bound,되퇸
peculiarity,기벽
particularity,까다로움
distinctiveness,특수성
firmly,꼭꼭
framework,뼈대
mold,거푸집
framing,짜맞추기
opening,개시
destruction,멸망
demolition,파괴
fax,팩스
facsimile,팩스, 팩시밀리, 복제본
facilities,설비
services,서비스, 공공 업무, 봉사
convenience,간편
expediency,편의
evaluation,값을구함
appraisal,감정
estimate,개산
abolition,노예 폐지폐지론
downy,솜같은
inclusion,산입
comprehension,내포
violent,폭력적인, 격렬한, 맹렬한
exterior,표면
norm,노르마
criteria,표준
bosom,마음속에 간직하다
copious,막대하다
plentiful,수두룩하다
manners,풍속
customs,세관
morals,풍속
practices,풍습
rituals,풍습
paprika,고추의 일종
indispensable,없어서는 안되는
imperative,강제적인
underneath,의 밑에
excessively,하도
hardware,하드웨어, 장비, 쇠붙이
watercourse,하천
tuition,수업료
scholarship,장학금; 학문, 학식
supplies,광량
scholar,선비
rancor,원한
midwinter,한겨울
boundary,한계
glimpse,흘긋 봄, 언뜻 봄; 흘긋 보다
midsummer,한여름
rational,도리를 아는
reasonable,과하지 않은
resolved,단호하다
injurious,중상적인
construe,구문 분석
elucidation,해명
dissolution,붕괴
disorganization,해소
core,가운데 가닥
handbag,핸드백
ham,과장된 연기
incense,방향
improve,향상
elevation,공중의 순간 정지
consent,동의
allowance,급여액
approved,공인된
ponder,헤아리다
actuality,현실, 실제, 사실
realistic,사실적인
cooperation,원조
formation,편대
curiosity,호기심, 진기함, 진기한 것
pumpkin,호박
respiration,단숨
inundation,범람
makeup,케라쇄의 종합 배열
conviction,뱃심
enlargement,확대
unobstructed,환하다
vigor,만만하다
vitality,활력, 생기, 생명력
briskly,상쾌하게
extensively,광범하다
recovery,간척
recuperation,만회
skepticism,회의
rotation,선회
efficiency,능렬
candidature,후보
candidacy,입후보
repentance,참회
imitation,모방
mimicry,모조품
overcast,구름으로 덮다
flowing,밀물
cloudy,구름 무늬의
swing,교수형을 받다
tremble,떨하다
traces,흔적
evidences,흔적
excitation,흥분
tolling,힘들어하다
feebly,힘없이
weekly,1주간 계속되는
promenade,전원의  행진
threescore,70세
schoolman,교수
forejudge,박탈하다
forjudge,박탈하다
mar,번지 레지스터
tallow,살찌게 하다
thumbmark,손가락 자국
matin,아침 노래
schoolmarmish,여선생
midway,오락장거리
midrib,주맥
machinereadable,처리할 수 있는
oblige,하여주다
marine,해병대
keg,100파운드
tenth,10일
adar,12월
cinquecento,16세기
tier,1단
freshman,1학년생의
crap,2개의 주사위를 굴리어 나온 질 숫자
halfblue,2군 선수
gemini,2인승 우주선
triploid,3배수의
threecolour,3색판
quadraphonic,4채널방식
fourstroke,4행정의
novena,9일기도
pricefixing,가격 협정
proximal,가까운
squint,가늘게 뜨다
french,가늘게 자르다
proged,가닥이 진
fringing,가두리를 꾸민
flush,가득찬
submerge,가라앉다
lull,가라앉히다
hedge,가로막다
vista,가로수 길
tread,가로장
frass,가루 부스러기
masque,가면극
lace,가미하다
venial,가벼운
maid,가사 일만을 맡아 보는 하녀
tilt,가상의 적과 싸우다
manostat,가스 정류장 장치
martingale,가슴걸이
verge,가장자리
seaming,가장자리 레이스
ladyhelp,가정부
leash,가죽끈
umiak,가죽배
lapstone,가죽을 두두리는 받침돌
tine,가지
menorah,가지가 7개 있는 장식 촛대
pruning,가지치기
quack,가짜약
pulsatance,각 주파수
funabout,각종 소형 자동차
interval,간격
laconism,간결함
talkfest,간담회
meddling,간섭
kitchenet,간이 부엌
shed,갈다
vicargeneral,감독 대리
proctor,감독하다.
saccharine,감미로운
melting,감상적인
tidewaiter,감시원
trailer,감은 끝의 공백의 부분
ooze,감탕흙
thyroid,갑상 연골
calyptra,(식물) 근관, 선모
tabling,갓천
tone,강해지다
mephistophelean,같은
mephistophelian,같은
throwoff,개시
privatism,개인주의
juridical,개정일
houselights,객석조명
privatdocent,객원 강사
privatdozent,객원 강사
upside,거꾸로
megatanker,거대 유조선
veto,거부권
toehold,거점
makebelieve,거짓잠
humming,거품 이는
hutting,건재
tuck,걷어 올리다
lash,걷어차다
hitch,걸다
mopboard,걸레받이널
liable,걸리기 쉬운
agraffe,걸쇠
shuffle,걸치다
metage,검량
yellowbird,검은 방울새의 일종
crust,(빵의) 껍질; (지구의) 지각, 딱딱한 표층
crawler,겉옷
seemingly,겉으로 보기에
winnow,겨를 까부르다
spate,격발
lattice,격자
tide,견뎌내게 하다
frazil,결빙
lithic,결석의
fructification,결실
logroll,결탁
wager,결투재판
louse,결판내다
matchmaking,결혼 중매
sickle,겸형 적혈구 빈
hoarstone,경계석
sclerometer,경도계
puddlejump,경비행기를 띄우다
heel,경사
floccinaucinihilipilification,경시
metacentric,경심
mitbestimmung,경영 참가
metalline,경화하다
vellum,고급 피지
fleshhook,고기 거는 갈고리
helvetian,고대 헬베티아족의
quarantine,고립시키다
mahalo,고맙습니다
valedictory,고별사
manslaughter,고살죄
misfeature,고생의 원인이 되는 특성
majormedical,고액 의료비 보험
foulup,고장
fritz,고장나서
fulgurate,고주파로 파괴하다
scirefacias,고지의 영장
manhattanize,고층화 하다
leap,곧 눈에 띄다
lap,곧이 듣다
knickknack,골동품
thimble,골무
flume,골짜기
bearbaiting,곰 놀리기
crisp,곱슬곱슬하게 되다
lank,곱슬곱슬하지 않은
thing,공공 집회
umbilical,공급선
mig,공기놀이
heavierthanair,공기보다 무거운
coordinated,공동 작용할 수 있는
coexecutor,공동 집행인
joint,공동성명
jointless,공동성명
conspiracy,공모
licensed,공인 주류 판매인
tee,공자리에서 치기 시작하다
hydrobomb,공중 어뢰
freeloader,공짜로 얻어먹는 사람
mallet,공치는 방망이
preteritive,과거형만 있는
fringer,과격론자
hock,과관절
outer,과녁 밖
pulper,과육 채취기
frugivore,과일을 상식하는 동물
overkill,과잉 살상력
tuckbox,과자 상자
maidan,광장
luster,광택
glossmeter,광택계
tolerability,괜찮음
ratten,괴롭히다
vestry,교구 위원회
freeair,교외 산책의
tieup,교통 두절
chuck,구구하고 울다
keypunch,구멍 뚫는 기계
imperforate,구멍선이 없는
punctureresistant,구멍이 잘 안 뚫리는
cabriole,구부러진 다리
zoning,구역제
vermicide,구충제
hitlerism,국가 사회주의
hitlerite,국가 사회주의자
nalgo,국가 지방 공무원 조합
marcher,국경 관할관
lycee,국립 고등 학교
kuomintang,국민당
limited,국지전
liege,군주
candied,굳어진
funneled,굴뚝을 같춘
stoop,굴욕을 참고 목적을이루다
deflection,굴절
refract,굴절시키다
navvy,굴착기
starve,굶주리게 하다
lymphatic,굼뜬
taliped,굽은
puissance,권력
privilege,권리
holster,권총 케이스
verger,권표 받드는 사람
trackage,궤도 사용권
orbit,궤도에 올리다
throwback,귀선 유전
mavourneen,귀여운 사람
verse,귀절
kosher,규정에 따라 요리하다
ordain,규정하다
lane,규정항로
balanced,균형식
masonite,그 상표
transfix,그 자리에서 꼼짝 못하게 하다
trapezist,그네 곡예사
sic,그대로
gramicidin,그라미시딘항생물질의 하나
scratchy,그러모은
punchy,그로기가 된
let,그만두다
thule,극북의 땅
microstudy,극소 부분의 연구
molectronics,극소 전자 공학
microelectronics,극소 전자공학
cocker,극진히 돌보다
rhizobium,근류 박테리아
offshore,근해 어업
matting,금 테드리
safeblowing,금고 털이
taboo,금기
venik,금성 탐측기
proscription,금지
flipflap,급변
flipflop,급변
frost,급속 냉동하다
funk,기가 죽다
millwright,기계 수리 기술자
metronomic,기계적으로 규칙바른
machinery,기관
organ,기관
locomotive,기관차
acceptant,기꺼이 받아들이는
propylon,기념문
fundi,기능자
functionalism,기능주의
mantra,기도
chaplain,기도하는사람
taenia,기둥 상부의 띠 모양의 도래
memorabilia,기록
profert,기록 등의 제출
chevalier,기사
fore,기수에
mediaperson,기자
fundus,기저부
stun,기절시키다
thalidomide,기형아
matron,기혼 부인
matronage,기혼 부인들
flue,깃가지
tucker,깃에대는 천
jabot,깃에서 앞가슴의 주름장식
acidic,까다로운
henpeck,깔고 뭉개다
funnel,깔대기 모양이 되게 하다
litter,깔짚
wink,깜박이다
yip,깽깽 짖다
granulative,껄끄러운
hidebound,껍질이 말라붙은
twine,꼬다
twist,꼬다
frizzle,꼬들꼬들하도록 튀기다
fully,꼬박
stump,꼬투리
frap,꼭 졸라매다
topless,꼭대기가 안보이는
misbegotten,꼴사나운
tailender,꼴찌
lodge,꽂다
fleuron,꽃무늬 장식
thumbpot,꽃병
malinger,꾀병을 부리다
wamble,꾸르륵거리다
machinate,꾸미다
weave,꾸미다
unlace,끈을 풀다
magnetize,끌어 당기다
trot,끌어내어 걸려 보이다
surge,끓어오르다
foreend,앞쪽 끝, 전단
off,나가서
hornpipe,나무피리
miller,나방의 일종
tailspin,나선식 급강하
turnout,나온 사람들
nubile,나이찬
manifest,나타나다
overfall,낙수하는 곳
chaste,난잡하지 않은
wings,날개
talaria,날개 달린 샌들
wingbeat,날개 치기
winged,날개를 다친
vane,날갯죽지
toolholder,날고정기
machete,날이 넓은 큰칼
fudge,날조하다
flightless,날지 못하는
unisex,남녀 공통의
southward,남으로부터
odds,남은것
cerberus,납포로 싸다
trifle,낭비하다
merozoite,낭충
lowlying,낮은
lamb,낳다
intrados,내륜
protrusile,내밀 수 있는
launch,내보내다
ceil,내부에 판자를 붙이다
seethrough,내비치는
housephone,내선 전화
internalcombustion,내연의
pronation,내전
pronate,내전하다
sacrarium,내진
marmite,냄비
foiling,냄새 자국
stinking,냄새나는
scent,냄새자취
flintiness,냉혹
horselaugh,너털웃음
layby,넓어진 부분
overshoot,넘겨쏘다
lick,넘실거리다
purl,넘어뜨리다
slop,넘쳐 흐르다
cater,네 끗
quarter,4분의 1; 15분; 25센트 동전; 분기
frow,네덜란드여자
languid,노곤
troll,노래하다
hump,노력하다
toss,노를 세워 경례하다
managementlabor,노사 분쟁
outcrop,노출
knocking,노킹
pretape,녹화하다
mesmerize,놀라게 하다
thole,놋좆
grange,농가 공제 조합
saturnalia,농신제
freerange,놓아 기르는
slake,누그러뜨리다
pressuresensitive,누르기만 해도 잘 붙는
lawless,누를 수 없는
lachrymal,누선
ostrich,눈가리고 아웅하기
oxeye,눈이 큰
mooneyed,눈이 휘둥그래진
pressed,눌린
presenter,뉴스 캐스터
futtock,늑재
windrow,늘어놓다
wattle,늘어진 살
wiredraw,늘여 철사로 만들다
wont,늘하는
veer,늦추었다 당겼다 하다
stroppy,다루기 어려운
forelimb,다리
haunch,다리와 허리의 고기
topknot,다발
relive,다시 체험하다
downs,다운스 정박지
fleshiness,다육성
terrace,테라스, 계단식 대지
misericorde,단검
mononucleosis,단구 증가증
minicourse,단기 강좌
lagging,단열용 피복시공
folio,단위 어수
iambus,단장격
iambic,단장격의
chasm,단절
monocoque,단체구조 차체
monadelphous,단체인
maple,단풍
marron,달고 큰 품종의 밤
frazzle,닳아 해어짐
memcon,담화 메모
verdict,답신
treadmill,답차
mallow,당아욱 속
immune,당할 염려가 없는
hawse,닻줄 구멍이 있는 부근
versus,~대(對), ~와 대비하여
subtend,대 하다
showstopper,대갈채를 얻은 것
follicular,대과 모양의
overlord,대군주
catastrophe,대단원
magadose,대량 투여
massacre,대량 학살
antipope,대립 교황
libretto,대본
loan,대부하고
nabob,대부호
khan,대상의 숙사
transatlantic,대서양 건너의
ledger,대석
mainstream,대세
fungible,대신할 수 있는
syllabus,대요 요목
mat,대지
lurch,대패
llano,대평원
meatax,대폭 삭감
beadle,대학 총장의 권표를 받드는 속관
proseminar,대학원생의 세미나
frontlash,대항 조처
oxheart,대형 버찌의 일종
forester,대형 캥거루
trapeze,대형그네
sap,대호
duologue,대화
trace,더듬어 올라가다
mash,더운 물을 섞다
jettison,던지다
trapper,덫으로 새
upholster,덮개를 씌우다
overwhelm,덮치다
granadero,데모 진압 기동대
purlin,도리들보
purline,도리들보
safely,도망할우려가 없는
kleptomania,도벽
pressmark,도서번호
urban,도시 재개발
mainstreet,도시 중심가에서 선거 운동을 하다
urb,도시구역
enroute,도중에
tabulator,도표 작성 장치
mephitis,독기
freestanding,독립되어 있는
crispate,돌돌 말린
throb,동계
wreathe,동그라미를 지으며 오르다
identic,동문통첩
zoological,동물
shack,동서하다
primus,동성중 최연장의
oscillate,동요하다
accede,동의하다
standoff,동점
kibe,동창
homecoming,동창회
masted,돛대의
trim,돛을 조절하며 나아가다
manque,되다 만
tit,되받아 쏘아 붙이기
unreel,되풀다
vulnerable,두 배의 벌금을 짊어질 위험이있는
wimple,두건
tagboard,두꺼운 종이
curled,두르르 말린
interspecific,두종 사이에서 생긴
obtuse,둔각
impound,둘러싸다
circumscription,둘레의 명각
fullbottomed,뒤가 퍼진
suffuse,뒤덮다
lean,뒤로 젖혀지다
frisk,뒤흔들다
tails,뒷면이 나온
tailfate,뒷문
tonneau,뒷좌석 부분
marker,득점 기록원
scorer,득점 기록원득점자
oat,들뜨다
salute,들리다
leveled,등고의
madame,등의 총칭
pulled,잡아당긴, 당겨진
owing,때문에
tumult,떠들썩함
orient,떠오르는
puckery,떫은
skein,(실 등의) 타래; 꼬인 것
flight,떼지어 날다
swarm,떼지어 분봉하다
tang,뗑하고 울리다
tick,똑딱거리다
ticktack,똑딱똑딱
ticktock,똑딱똑딱
casting,주조, 주물; 배역 선정
immerge,뛰어들다
thrum,뜯다
maxi,뜻의 결합사
floatable,띄울 수 있는
la,(음악) 계이름 '라' (A음)
wireless,라디오 수신기
lama,라마승
vicuna,라마의 종류
lateran,라테란 성당
lobby,로비
montagnard,로키 산맥 속에 사는 북미 인디언족
linoleum,리놀륨
mews,마구간
siding,마늘판벽
memsahib,마님
mezz,마리화나
paca,마못류
cabman,마부
numb,마비시키다
tournament,마상시합
frisket,마스크
mastabah,마스타바
mastodon,마스토돈
looseleaf,마음대로 바꾸어 꽂을 수 있는
list,마음에 들다
profound,마음에서 우러나는
roil,마음을 휘젓다
micropublishing,마이크로 출판
microprocess,마이크로 프로세서로 처리하다
mileometer,마일 주행 거리계
milestone,마일 표
majolica,마졸리카 도자기
visavis,마주 대하고 있는 사람
traction,마찰
maquis,마키
icelolly,막대기가 있는 아이스 캔디
membranal,막의
mandoline,만돌린
doneness,만듦새
overgrow,만연하다
malathion,말라티온
malolactic,말산이 유산으로 변하는
stud,말의 떼
manganese,망간
mango,망고
mangosteen,망고스틴
jib,망설이다
martel,망치
acrossthetable,맞대놓고 하는
gearing,맞물림
usher,맞아들이다
jar,맞지 않다
fomites,매개물
tether,매는 사슬
denunciation,매도
scathing,매도
floorman,매매 거래원
mashie,매시
kiosk,매점
mediaman,매체 조사원
pulsation,맥동
pulsator,맥동 장치
maltose,맥아당
mangrove,맨그로브
mandragora,맨드레이크
mantoman,맨투맨 방어
mantle,맨틀
mastiff,맹견의 일종
acrolith,머리
mandarin,머리 흔드는 인형
truncate,머리를  자르다
scalp,머릿가죽
flossy,멋부린
knit,메리야스 류
impoverishment,메마르게 하다
methanogen,메탄 생성 미생물
linsey,면모교직
legend,전설; 범례; 전설적인 인물
ming,명나라
singe,명성을 손상하다
turning,몇 사람이 손을 대면 신령의 힘으로 테이블이 저절로 움직이는 현상
funraising,모금 활동
made,모듬 요리
moro,모로족의 토인
morphinomania,모르핀 중독
mimmem,모방 기억 반복 연습의
sacred,모신
simulation,모의실험
simulator,모의실험
morion,모자 모양의 투구
logie,모조보석
hardgrained,모진
tempt,모험하다
choker,목걸이
lavaliere,목걸이
backsword,목검
singlestick,목검술
millwork,목공 제품
clergywoman,목사 부인
alpenhorn,목재 나팔
flypost,몰래 붙이다
foist,몰래 써 넣다
flounce,몸부림침
misstep,몸을 그르침
overreach,몸을 지나치게 뻗다
mitty,몽상가
nostrum,묘안
knuckle,무고기
founder,무너뜨리다
choreography,무도법
prom,무도회
mampara,무딘 흑인
marrowbone,무릎
kneepad,무릎가리개
overdo,무리를 하다
marconigraph,무선 전신기
overrun,무성하다
jaywalk,무시하고 길을 횡단하다
jaywalker,무시하고 길을 횡단하다
mime,무언극
saga,무용 전설
downcomer,물건을 아래로 보내는 파이프
marcel,물결 모양의 웨이브
habendum,물권 표시 조례
hydrosphere,물기
killdeer,물떼새의 일종
iatrophysics,물리요법 의학
foil,물리치다
talus,물매진면
nix,물의 요정
microsample,물질의 극소 표본
gi,미군병사
minimax,미니맥스를 최소로 하는 기법
midmashie,미드 매시
microsome,미립체
missileman,미사일 설계자
