unstained,더렵혀지지않은
fugitive,도망자
escapable,도망칠 수 있는
escaped,도망한
wholesale,도매
devising,도모
porgy,도미 무리
sheepshead,도미과의 식용어
domino,도미노 놀이
dominican,도미니카 공화국의
santodomingo,도미니카 공화국의 수도
dominic,도미니크 교단의 개조
periodic,도미문의
dormie,도미의
schoolmaster,도미의 일종
cropier,도박대 책임자
sportsman,도박사
gamble,도박으로 잃다
keno,도박의 일종
aleatory,도박적인
stimulative,도발
warmonger,도발자
fomentation,도발행위
dover,도버해협
tophet,도벳
topheth,도벳
footrace,도보 경주
pedestrianize,도보 여행을 하다
hoofer,도보 여행자
tramper,도보 여행자
footslogging,도보 행진
hike,도보여행
pedestrian,도보의
unmounted,도보의
footsloger,도보자
huckster,도부치다
crier,도붓 장수
dobro,도브로금속의 반향판이 달린 음향 기타 , 상표명
tobit,도빗서
imam,도사
imaum,도사
fairlead,도삭기
chock,도삭기 받침나무
slaughter,도살
butchery,도살업
butcher,도살업자
poleax,도살용의 도끼
slaughterman,도살자
galea,도상 돌기
wargame,도상 작전을 하다
iconography,도상학
iconology,도상학
iconographic,도상학의
iconograpical,도상학의
pornography,도색
islands,도서
utlas,도서 목록 데이터 뱅크
bibliographic,도서 목록의
sublibrarian,도서관 부관장
librarian,도서관원
bibliokleptomania,도서벽
bibliofilm,도서복사필름
ferriage,도선
pilotage,도선료
ferryman,도선업자
saturn,도성
cermet,도성합금
aqueduct,도수관
headrace,도수기
graduator,도수를 매기는 사람
doeskin,도스킨
dostoevski,도스토예프스키
townsite,도시 건설 부지
vedutista,도시 경관 화가
veduta,도시 경관화
urbanism,도시 계획
burbs,도시 교외
polis,도시 국가
hinterurbia,도시 노동자가 사는 먼 교회
urbanology,도시 문제 연구
urbiculture,도시 문화
towner,도시 사람
urbanistic,도시 생활의
kotwal,도시 장관
townscape,도시 조경법
intown,도시 중앙에 있는
slicker,도시 출신의 세련된 사람
burgage,도시 토지 보유권
cityscape,도시 풍경
selectman,도시 행정위원
urbicide,도시 환경파괴
citied,도시가 있는
mercaptan,도시가스 착취제
interborough,도시간 교통
urbanoid,도시문제연구
kebele,도시부의 자치조직
intermural,도시사이의
citybily,도시에서의 컨트리 뮤직 연주자
homesteading,도시입식
inurbane,도시적
schematism,도시적 배치
townsfolk,도시주민
urbanity,도시풍
citify,도시풍으로 하다
townify,도시화하다
schematize,도식화하다
hop,도약
prance,도약
schanze,도약대
salientian,도약류의무미류의
saltigrade,도약에 알맞은 다리를 가진
springing,도약운동
capriole,도약하다
ceramics,도예
ceramist,도예가
picasso,도예가
ceramic,도예의
unfriended,도와주는 이 없는
sandpiper,도요과의 새
longbill,도요새
snipe,도요새
appropriation,도용
plagiarize,도용하다
dow,도우선
heist,도욱
helpable,도울 수 있는
chrismatory,도유
chrism,도유식
chrismal,도유식의
totalizer,도율 표시기
totalizator,도율표시기
subtonic,도음
impostume,도의의 퇴폐
thume,도의의 퇴폐
deutschland,도이치란트
degreeday,도일
doyle,도일
doily,도일리
crockery,도자기류
paintwork,도장면
harem,도장방
conductivity,도전율
unchallenged,도전을 받지 않은
defier,도전자
defiant,도전적인
itinerary,도정
journey,도정
articled,도제계약의
apprentceship,도제살이
bolt,도주-뛰어나가다
flyaway,도주자
stopover,도중 하차
partway,도중까지
intercept,도중에서 잡다가로채다
nonstop,도중에서 정거하지 않는
intray,도착 서류함
liniment,도찰제
universally,도처
bugging,도청
wiretapping,도청
wiretapper,도청하는 사람
overhear,도청하다
wiretap,도청하다
intoxication,도취
turnon,도취
euphoria,도취감
enraptured,도취된
intoxicated,도취된
psychedelic,도취의
inversion,도치
anastrophe,도치법
dorcassociety,도커스회
tokyoite,도쿄 시민
dock,도크
dockage,도크설비
linkup,도킹
undock,도킹에서 풀리다
docking,도킹의
dorking,도킹종의 닭
fondness,도타운 사랑
ricochet,도탄
cull,도태
acorn,도토리
escapement,도파구
dopamine,도파민
anointment,도포
applicator,도포구
embrocation,도포액
signpost,도표
waymark,도표
tabulation,도표 작성
diagrammatize,도표로 만들다
diagrammatic,도표의
dopplershift,도플러 편이를 일으키다
avoidance,도피
elusion,도피
bolthole,도피소
escapee,도피자
alsatia,도피장소
escapist,도피주의자
doha,도하
moralistic,도학적인
iconographer,도해법 연구자
illustrator,도해자
delineation,도형
exergue,도형의 하부와 가장자리 사이
interlaced,도형이 섞어짜여진 ,
squib,도화폭관
urbanite,도회 사람
urbane,도회적인
citified,도회지풍
urbanize,도회화 하다
bane,독
venom,독
ringhals,독 뱉는 코브라
darnel,독 보리
phosgenite,독가스
laura,독거 수도원
tarantula,독거미의 일종
warlord,독군
tamperproof,독극물 혼입 등을 하기 쉽게 되어 있는
effluvium,독기
miasma,독기
evileyed,독기 서린 눈의
unbitter,독기없는
miasmal,독기의
nun,독나방의 일종
conceit,독단
dogmatismtist,독단론자
cocksure,독단적
opinionated,독단적
hemlock,독당근
alopecia,독두증
selfsupport,독립 경영
selfsupporting,독립 경영의
fec,독립 단기 치료소
selfdependence,독립 독행
selfreliance,독립 독행
selfmade,독립 독행의
selfreliant,독립 독행하는
iba,독립 방송 협회
indie,독립 방송국
jefferson,독립 선언문의 기초자
signer,독립 선언서 서명자
selfexistence,독립 자존
yankeedoodle,독립 전쟁 당시의 군가
quango,독립 정부 기관
independency,독립 조합 교회주의독립국
azerbaijan,독립국 연합의 공화국의 하나
whig,독립당원
autonomous,독립된
autotroph,독립영양 생물
selfexistent,독립적 존재의
autocephalous,독립한
butte,독메
passeul,독무
toxiphobia,독물 공포
toxicogenic,독물 발생의
envenomate,독물을 주입하다
envenomation,독물주입
toxicology,독물학
toxicologic,독물학의
cowbane,독미나리
dropwort,독미나리 무리
monologue,독백
soliloquy,독백
monologist,독백자
monologize,독백하다
soliloquize,독백하다
toadstool,독버섯
amanita,독버섯의 일종
ryegrass,독보리
primer,독본
jezebel,독부
shedevil,독부
acrimony,독살스럽다
virulence,독살스럽다
bibliotherapy,독서 요법
bibliotherapeutic,독서 요법의
dyslexic,독서 장애의
bookaholic,독서 중독 환자
bookworm,독서광
alexia,독서불능증
眼到,독서삼도
口到,독서삼도
bookman,독서인
egotistic,독선적인
selfrighteous,독선적인
selfsatisfied,독선적인
vituperation,독설
inveigh,독설을 퍼붓다
invective,독설의
sharptongued,독설의
toxicity,독성
vulture,독수리
warbonnet,독수리 깃으로 꾸민 북미 인디언의 예장용 전투모
aquila,독수리자리
selftaught,독습의
bachelorship,독신
celibacy,독신
bachelordom,독신 기질
bachelorhood,독신 생활
bach,독신 생활을 하다
bachelorette,독신 여성
boq,독신 장교 숙사
celibate,독신의
unwed,독신의
wifeless,독신의
celibatarian,독신주의자
devoutly,독실하게
venomous,독액을 분비하는
envenom,독을넣다
atoxic,독이 없는
germanophobe,독일 공포자
reichsbank,독일 국립 은행
allemande,독일 댄스의 일종
germanism,독일 말투
hanover,독일 북서부의 도시
kraut,독일 사람
germanity,독일 사람기질
johannisberger,독일 산 고급 백포도주
germanophile,독일 숭배자
germanomania,독일 심취
frau,독일 여인
kapellmeister,독일 왕후의 예배당 소속 음악 지휘자
reichstag,독일 의회
germanophobia,독일 혐오증
germanamerican,독일계 미국인
germanize,독일말로 옮기다
hamburg,독일산 검은 포도
apollinaris,독일산 광천수의 일종
germanizaion,독일식
schnauzer,독일종의 테리어
onlybegotten,독자의
dictatorship,독재
autocrat,독재군주
caesarism,독재군주제
despot,독재자
dictatorial,독재적인
autocracy,독재정치
monopolization,독점
antimonopoly,독점 금지의
proprietary,독점의
monopolost,독점자
monopolize,독점하다
concertino,독주 악기군
soloist,독주자 독창자
malversation,독직
jobbery,독직 행위
boodler,독직공무원
cantor,독창자
ingenious,독창적인
inventive,독창적인
unborrowed,독창적인
dun,독촉장
urger,독촉하는 사람
poisonpen,독필을 휘두르는
autodidact,독학
silvertail,돈 많은 실력자
moneyless,돈 없는
cashbox,돈궤
moneybox,돈궤
ante,돈내다
bankroll,돈다발
tossup,돈던지기
catchpenny,돈만 긁어내려는
moneygrubber,돈만 아는 사람
hessian,돈만 주면 일하는 사람
oofy,돈많은
hogback,돈배구
wageearning,돈벌 수 있는
moneymaking,돈벌이
fossick,돈벌이 구멍을 찾다
moneymaker,돈벌이 되는 일
lucrative,돈벌이가 되는
impecunious,돈없는
mercantile,돈에 눈이 어두운
venality,돈에 좌우됨
forhire,돈으로 고용되는
unrealizable,돈으로 바꿀 수 없는
priceless,돈으로 살 수 없는
venal,돈으로 얻을 수 있는
refund,돈을 갚다
mercenary,돈을 목적으로 일하는
moneysaving,돈을 절약하는
subsidize,돈을 주어 협력을 얻다
welllined,돈이 가득 들어 있는
stringent,돈이 잘 안도는
hireling,돈이면 무엇이든 하는
impecuniosity,돈이없음
aposiopesis,돈절법
moneybag,돈주머니 지갑
quixotic,돈키호테식의
apostrophe,돈호법
excite,돋구다
setoff,돋보이게 하는 물건
glamorize,돋보이게 하다
unspectacular,돋보이지 않는
whet,돋우다
matelasse,돋을 무늬가 있는
bossed,돋을 새김이 붙은
dimity,돋을 줄무늬 무명
relievo,돋을새김
embossed,돋을새김의
stonecold,돌 깨는 기계
stonecutter,돌 깨는 기계
knapper,돌 깨는 사람
masonic,돌 세공의
regolith,돌가루 모양의 물질
stony,돌같은
pothole,돌개 구멍
dolpin,돌고래
porpoise,돌고래
dolphinarium,돌고래 수족관
grampus,돌고래과의 일종
bottlenose,돌고래의 일종
cist,돌궤
stele,돌기둥
houseleek,돌나물과의 잡초
crabstick,돌능금나무지팡이
stonewall,돌담
numskull,돌대가리
stoneboat,돌덩이를 나르는 썰매
celt,돌도끼
redeliver,돌려보내다
returned,돌려보내진
assignable,돌려야 할
returnable,돌려주면 받을 수 있는 빈병
revet,돌로 덮다
petrifaction,돌로 화함
dolomites,돌로미테 알프스
doline,돌리네
revolve,돌리다
unturned,돌리지 않은
ascribable,돌릴 수 있는
imputable,돌릴수 있는
stringcourse,돌림 띠
entablature,돌림띠
ledgement,돌림띠쇠시리
frustule,돌말의 껍질
gabion,돌망태
yonnie,돌멩이
lithoid,돌모양의
turnup,돌발 사건
bombshell,돌발사건
sporadic,돌발적인
tendance,돌보기
unnoticed,돌보아지지 않는
unheeded,돌봐지지않는
dolbyized,돌비 방식의
mica,돌비늘
stonework,돌세공
asbestos,돌솜
returnless,돌아갈 수 없는
rangy,돌아다니기에 알맞은
perambulate,돌아다니다
legwork,돌아다님
callback,돌아오면 전화해 달라는 부탁
unpaved,돌을 깔지 않은
stonebreaker,돌을 깨는 사람
lapidate,돌을 던져서 죽이다
mason,돌을 쌓다
lapidify,돌이 되게 하다
petrify,돌이 되게 하다
stoneless,돌이 없는
irreclaimable,돌이킬 수 없는
irrecoverable,돌이킬 수 없는
irremediable,돌이킬 수 없는
irreparable,돌이킬 수 없는
rubbly,돌조각이 많은
jut,돌출
protrusion,돌출
outrigger,돌출 부재
outthrust,돌출물
fleche,돌출보
protuberancy,돌출부
exsert,돌출케하다
extrude,돌출하다
grubsaw,돌켜는 톱
taw,돌튀기기
catapult,돌팔매총
mountebank,돌팔이 약장수
quackish,돌팔이 의사의
merryandrew,돌팔이 장사꾼의 앞잡이
domy,돔의
helper,돕는사람
dragonet,동갈양태과의 물고기
nubbin,동강이요점
cohabitation,동거
housemate,동거인
livein,동거하는
cohabit,동거하다
coequality,동격
incoordinate,동격
parity,동격
appositional,동격의
coequal,동격의
congelation,동결
iceup,동결
freezefracture,동결 파단하다
yearning,동경
cognation,동계
linebreeding,동계번식
nuthatch,동고비
ostrogoth,동고트족
hyosyamine,동공확산제
antre,동굴
grotto,동굴
biospeleology,동굴 생물학
potholing,동굴 탐험
caveman,동굴 탐험가
potholer,동굴 탐험자
cavate,동굴같은
troglobite,동굴성 동물
spelaean,동굴에 사는
spelunk,동굴을 탐험하다
grotoed,동굴의
caverned,동굴이 된
cavernous,동굴이 많은
caving,동굴탐험
caver,동굴탐험가
speleology,동굴학
speleologist,동굴학자
looped,동그라미가 된
classmate,동급생
synchronization,동기
inducement,동기
eashsoutheast,동남동
seato,동남아시아 조약 기구
gaberlunzie,동냥자루
nabe,동네영화관
dawning,동녁
rigmarole,동닿지 않는
incongruous,동닿지 않은
ostmark,동독의 화페 단위
par,동등
comparably,동등하게
identicalily,동등하게
uncomparable,동떨어지다
agitation,동란
fermentation,동란
sedition,동란 선동
kinetics,동력학
comrade,동료
shipmate,동료 선원
comradeship,동료관계
camaraderie,동료의식
accomplice,동류
ilk,동류
togetherness,동류 의식
arteriosclerosis,동맥경화증
aneurysm,동맥류
arteritis,동맥염
arterial,동맥혈
hibernaculum,동면 장소
reviviscence,동면에서 깨어남
hibernant,동면의
homonymy,동명 이물
gerund,동명사
ing,동명사를 만듦
gerundial,동명사의
cognominal,동명의
homonymic,동명의
uterine,동모 이부의
zoophobia,동물 공포증
zoonosis,동물 기생증
zoosemiotics,동물 기호학
zootoxin,동물 독소
zoophile,동물 매개 식물
zootaxy,동물 분류학
zoodynamics,동물 생리학
zoonomy,동물 생리학
zoic,동물 생활의
zoophilist,동물 성애자
zooblast,동물 세포
zoophily,동물 애호
zoomechanics,동물 역학
zoogeographic,동물 지라학의
zoogeography,동물 지리학
faunistic,동물 지리학상의
asphyxiator,동물 질식시험기
zoometry,동물 측정학
zootomy,동물 해부
zoomorphism,동물 형태관
zoomorphic,동물 형태를 본뜬
animalier,동물 화가
zoochemistry,동물 화학
xing,동물 횡단길
fauna,동물군
zoophilous,동물매의
faunist,동물상 연구자
animality,동물성
zooplankton,동물성 플랭크톤
oleomargarine,동물성마가린
animalistic,동물성의
zoolatry,동물숭배
zootheism,동물신 숭배
zoophilia,동물애
bestiary,동물우화집
zookeeper,동물원의 관리자
tom,동물의 수컷
maw,동물의 위
abomasum,동물의 추위
becquerel,동물의잠자리
animalism,동물적 생활
zoomancy,동물점
zoographic,동물지의
faunal,동물지적인
zoography,동물지학
animalize,동물질로 바꾸다
animalization,동물질화
zoology,동물학
zoologist,동물학자
ethology,동물행동학
ebs,동미남
ebn,동미북
puncheon,동바리
escort,동반
unaccompanied,동반자가 없는
magi,동방 박사마태복음 2
easting,동방위
compeer,동배
dong,동베트남의 화폐단위
enclose,동봉하다
accompanying,동봉한
northeast,동북
eastnortheast,동북동
northeastern,동북부동북에서 부는
neato,동북아시아 조약기구
northeastward,동북에 있는
northeasterly,동북으로 부터의
northeastwards,동북쪽에
northeaster,동북풍
ite,동사
verb,동사
verbalize,동사로 바꾸다
gerundive,동사상 형용사
gerundival,동사상 형용사의
verbailty,동사의 성질
eth,동사의 제3인칭
verbification,동사화
distraint,동산 압류
distrainor,동산 압류인
ditto,동상
frostbite,동상
solifluction,동상 침식
inphase,동상의
syngenesis,동생
cohabitant,동서자
cohabitee,동서자
seatmate,동석자
homosexual,동성
faggotry,동성애
homosex,동성애
sapphism,동성애
homophile,동성애자
willie,동성애자
homoerotic,동성애적인
allotropy,동소체
allotrope,동소체의
allotropic,동소체의
roommate,동숙인
crewmate,동승 승무원
allatonceness,동시 다발
synchronizer,동시 발광 장치
simulcast,동시 방송하다
cofeature,동시 상영물
synchro,동시 작동의
coarticulation,동시 조음
contemporaneous,동시 존재의
coedition,동시 출판
cotransduction,동시 형질 도입
corotation,동시 회전
cototate,동시 회전하다
contempovize,동시대로하다
homopterous,동시류의
synchronicity,동시발생
connate,동시발생의
simultaneity,동시성
concurrently,동시에
coincidential,동시에 일어나는
synchronous,동시에 일어나는
coexist,동시에 존재하다
synchronize,동시에 하게 하다
coinstantaneous,동시의
concurrence,동시작용
ubiquity,동시편재
homocentric,동심의
eac,동아프리카 공동체
orientalism,동양식
oriental,동양통
liveryman,동업 조합원
confrere,동업자
buzzword,동업자끼리의 통용어
coextensive,동연의
videos,동영상
commotion,동요
fluctuation,동요
shakiness,동요
fluctuate,동요 시키다
inquietude,동요근심
destabilize,동요시키다
unsettle,동요시키다
vex,동요시키다
shakable,동요시킬 수 있는
imperturbable,동요치 않는
fluctuating,동요하는
seesaw,동요하는
vacillate,동요하다
agitatedly,동요하여
reelingly,동요하여
unwavering,동요하지 않는
unshaken,동요하지않는
agitated,동요한
denobilization,동원 해제
paronym,동원어
isogenic,동원의
isogenous,동원의
kinetochore,동원체
kinetonema,동원체사
kineroplast,동원핵
isotopic,동위 원소의
isotope,동위원소
unison,동음
synonym,동의어
synonymy,동의어집
unanimous,동의의
concur,동의하다
agreed,동의하여
brethren,동인
cenacle,동인
sameness,동일
coterminous,동일연장
dynamism,동적
galvanism,동전기
voltaism,동전기
electrokinetic,동전기상의
electrokinetics,동전기학
levelpeg,동점이다
commiseration,동정
androgenesis,동정 생식
arteriovenous,동정맥의
commiserative,동정심 있는
compassionate,동정심 있는
softhearted,동정심 있는
unresponsive,동정심이 없는
unpitied,동정을 받지 못하는
virgin,동정인사람
pitying,동정하는
commiserate,동정하다
enrapport,동정하여
sympathetically,동정하여
consanguinity,동족
endogamic,동족 결혼의
endogamy,동족결혼
cannibal,동족을 잡아 먹는 동물
cannibalistic,동족을 잡아먹는
akin,동족의
consanguineous,동족의
cognate,동족의 언어
homologue,동족체
inandin,동종 교배의
homogeneity,동종 동질
alloimmune,동종 면역의
isoagglutination,동종 응집
inbreeding,동종번식
incross,동종번식
inbred,동종번식의
homeopathy,동종요법
homeopathic,동종요법의
homogeneous,동종의
homograft,동종이식편
alloantigen,동종항원
alloantibody,동종항체
isobaric,동중 원소의
isotone,동중성자핵
isobar,동중체
homosphere,동질권
heteromorphism,동질이광
homozygote,동질접합체
isozyme,동질효소
eastward,동쪽
eastbound,동쪽으로가는
quantic,동차 다항식
reunion,동창회
crampon,동철
heteronym,동철 이음 이의
cuirass,동체 갑옷
photochronograph,동체 사진
photochronography,동체 사진법
crashlanding,동체 착륙
underpart,동체 하부
consubstantiate,동체가 되다
coessential,동체의
midsection,동체의 중간부
widebody,동체의 폭이 넓은
consubstantiality,동체임
bellyland,동체착륙하다
coaxial,동축 케이블의
ipsilateral,동측의
countervalue,동치
bedmate,동침하는 사람
donkeyman,동키맨
electrokymograph,동태기록기
tundra,동토대
algophobia,동통
pricking,동통
dolorology,동통학
predawn,동트기 전의
copperplate,동판
chalcography,동판술의
compatriot,동포
easter,동풍
easterly,동풍
susceptible,동하기 쉬운
moved,동하다
affected,동하다
isomorphism,동형
isogamy,동형배우
isomorph,동형체
assimilation,동화
pantomime,동화극
assimilate,동화된 물건
assimilability,동화성
grimm,동화작가 형제
anabolism,동화작용
assimilator,동화하는 사람
imbibe,동화하다
assimilable,동화할 수 있는
windjammer,돛단배
masthead,돛대꼭대기의감시원
dismast,돛대를 앗아 가다
foretopgallant,돛대의앞
sailfish,돛새치
ahull,돛을 걷고 키손잡이를 바람맞이 쪽으로 잡아
vela,돛자리
porkchop,돼지 갈비살
souse,돼지 대가리의 소금절임
headcheese,돼지 머리나 족을 잘게 썰어 삶은 치즈 모양의 식품
griskin,돼지 옆구리살
hoggery,돼지 우리
hogpen,돼지 우리
swineherd,돼지 치는 사람
sparerib,돼지갈비
vermiform,돼지벌레 모양의
fatback,돼지의 구리 위족의 비계살
forehock,돼지의 다리 위쪽의 고기
pannage,돼지의 방목권
pigskin,돼지의 생가죽
sucker,돼지의 젖먹이
pettitoes,돼지족
became,됐다
backwater,되 밀리는 물
unwind,되감다
retortion,되구부림
reflexly,되굽어서
unwindase,되꼬는 효소
offhand,되는 대로
lackadaisically,되는 대로
haphazard,되는대로
sloven,되는대로
hitandmiss,되는대로 하는
huddle,되는대로 해치우다
counterreply,되대꾸하다
irretraceable,되돌아갈수 없는
regression,되돌아감
reflexive,되돌아오는
repassage,되돌아옴
reversal,되돌아옴
rollback,되물리침까지 후퇴시킴
recriminatory,되받아 비난하는
recriminate,되받아 비난하다
recrimination,되받아 비난함
buyback,되사는
redeemer,되사는 사람
redeemable,되살 수 있는
reinvigorate,되살리다
reviviscent,되살아 나는
reviver,되살아나게 하는 것
redivivus,되살아난
pettifog,되잖은 이론을 늘어 놓다
youthen,되젊게 만들다
reflex,되접다
riposte,되찌르기
retriever,되찾는 사람
recoup,되찾다
recoverable,되찾을 수 있는
repairable,되찾을 수 있는
reassumption,되찾음
resumption,되찾음
counterstroke,되쳐 보냄
backstroke,되치기
repercussion,되틤
replication,되풀이
repetition,되풀이
iteration,되풀이
repeater,되풀이 하는 사람
recursive,되풀이되는
revenant,되풀이해서 돌아오는
tautologize,되풀이해서 말하다
avocet,됫부리장다리떼새
dunkirk,됫케르크
semidetached,두 가구 연립의
amphiblous,두 가지로 해석되는
divaricate,두 갈래로 갈라지다
bifid,두 갈래의
biforked,두 갈래의
travois,두 개의 장대를 틀에 붙들어 매어 개
twoply,두 겹으로 짠
geminate,두 겹의
bicyclic,두 고리식의
binaural,두 귀에 쓰이는
